output_file,output_format,output_rows,output_bytes,output_sha256
data/generated/clean/normalized_source_transactions.parquet,parquet,167756.0,9817236,dcc6ba0e56462e796116a66ec9efe80327f65473a8d87c21c29629d64de4570d
data/generated/clean/rep_mapping.parquet,parquet,13.0,2767,da203f632c313910d973ad9dc6a90db5c65a69a524bed26381f0607ba8c6f03b
data/generated/clean/manager_mapping.parquet,parquet,4.0,2534,150f6c1213bd535d8fffa952fdca1a03d7a74b57f5470d777a98cb741eb225ee
data/generated/clean/team_mapping.parquet,parquet,4.0,2424,38001b371e5e3e7555bd1b5647844d37bd39b90d6613e106583eb7832541e263
data/generated/clean/customer_mapping.parquet,parquet,751.0,22888,6f627a382f3c5c8dd548ff4fd8e5f0aa543f5ac10b97337f250b4c84441b8738
data/generated/clean/product_mapping.parquet,parquet,240.0,9266,05ab3db293f33613bb05432a3832208643c695ba18e897189c48eb2e490dbff8
data/generated/clean/territory_mapping.parquet,parquet,8.0,2674,5d594e2d8418eb0e94405f54d927224b7ae4f24aef1b9216bc54cd836ed9f484
data/generated/clean/rep_master.parquet,parquet,13.0,16750,886fbab1944051aa7cc6db70c418e1cbfd10bcd900ce5c1bfb4bf7fb04869b27
data/generated/clean/manager_master.parquet,parquet,4.0,6277,03550243428778b6c79afdacd579c1227e145f5a7b289ba90fe0e030fb102faa
data/generated/clean/team_master.parquet,parquet,4.0,5631,c1669451f29cd7700d4610296bef1c67fd9844899472e4fc99116ef87f813f5d
data/generated/clean/customer_master.parquet,parquet,751.0,80734,dea8444b5590a29e4dd238087e8d33e6e0a8f2043bd5221b72db06c4d00f5474
data/generated/clean/product_master.parquet,parquet,240.0,38573,5a6ea6966ce270c9127099395ecfdc4626d8d761fa5b219977662ab6dc80fa9a
data/generated/clean/territory_master.parquet,parquet,8.0,19025,6a776fe398d45e7d53cedb2c592024635da44387da6fd757589931349bf33c2e
data/generated/clean/rep_targets_quotas.parquet,parquet,364.0,28856,419fbb0e448ada17e16fb9f1685b715b9ff7a0ba4d6e24ef14fc1c4dd0e6586a
data/generated/clean/incentive_policy_rules.parquet,parquet,12.0,15247,a0f48b8b292745cf6fde6b01dd12298519849869d2472a752334bd4e95cde0df
data/generated/clean/orders.parquet,parquet,167756.0,15983020,8e613c1aa1cb1a6285a8901868a0624909be8351f902729aa23414afedd51b6a
data/generated/clean/discount_detail.parquet,parquet,167756.0,7474198,18784ffd376206ef53cd351c4c2c5338d8886b3973b8dcc23d4f11c74ec00b06
data/generated/clean/returns_cancellations.parquet,parquet,6452.0,434655,134108075559c9f0416bd48739d32db24fca7f02059ac19748ecd4ab3939a1b6
data/generated/clean/field_visits.parquet,parquet,30268.0,2278684,971bba8c75a444d7557702e23dca1d7689e754e93d6418a35bf9c6074835c35f
data/generated/clean/crm_interactions.parquet,parquet,70925.0,2057362,85402ee80b52d986fd4531ea9281674f1853b2cbd3e4fd4384146cc2d99f5631
data/generated/clean/travel_expenses.parquet,parquet,21925.0,1262125,dba8f0394411c12436a02ecfcc97b1e6815dc4c7cadb0443c1943748c4ab4d4d
data/generated/clean/incentive_calculations.parquet,parquet,364.0,45495,c0938e22b02087b839c9cea9b5d62ecdb40ca424a495c7c4829c59dc6ceea6b0
data/generated/clean/capacity_calendar.parquet,parquet,364.0,182316,116d6bdc708c4920b9b46df9fd607f640d60f22e046e4612cbbbefed76fb7d16
data/generated/clean/capacity_customer_drilldown.parquet,parquet,18627.0,855975,e7b1a96b4817cdeb215a31e014d6708ca84ac34b5a67db7c436419c60f55d229
data/generated/clean/capacity_territory_allocation.parquet,parquet,2022.0,330828,bdeaaf49cb8035427ac2096f310562571f40bb9a1f7944567f81e1a788620c6d
data/generated/clean/capacity_territory_summary.parquet,parquet,176.0,102112,2c0373392dbe020ccbcf9053681f6d3aa1550da47fb203f8036202a03e22c6a8
data/generated/clean/feature_store_rep_period.parquet,parquet,364.0,568081,827f46f9f25265a43a085226a538d9ad3542274a303732d03b39cb67175a2099
data/generated/injected/rep_targets_quotas.parquet,parquet,364.0,28908,c97bc4b68f94d2b22793669453b679e50d6129eeb7f52811c0e92b19dc002ea0
data/generated/injected/orders.parquet,parquet,167756.0,16003561,188c0165cd10d0ea9d30dc64a29cc179584ba26bdb7bd10096c662222dee4a78
data/generated/injected/discount_detail.parquet,parquet,167756.0,7476990,07b074735c60ff858101a67ab34bcfd7fb0b776ee5e69d793034275acd7f9028
data/generated/injected/returns_cancellations.parquet,parquet,6595.0,443790,9305aaa7f0c3e53d897b8d4ec0e29b419df0c96ab3f085809eb16da47876058a
data/generated/injected/field_visits.parquet,parquet,30306.0,2280531,d6f1dc09b716fda9fd3bde310e05094e50d2d3ca17086c29d6c867c5a9501cee
data/generated/injected/crm_interactions.parquet,parquet,70925.0,2058572,764a6085ed4b2a3cb8c9c07b352102acd6f13968590b6335cf62846d7fa30927
data/generated/injected/travel_expenses.parquet,parquet,21945.0,1262619,92acce03427ee4bb50dc3aaccf05210dc43c1ed7ddd81759a807dae96487e0ba
data/generated/injected/incentive_calculations.parquet,parquet,364.0,45676,5a7a780a2674fabfd1fefedc19f949bca7c0c8404f496086494f5fa5c18ba212
data/generated/injected/capacity_calendar.parquet,parquet,364.0,182240,29cff5808b3e3d618bc4a14fcc89dbcdba57dd3755d7bdb339e4d24a12668b2d
data/generated/injected/capacity_customer_drilldown.parquet,parquet,18627.0,858265,0bedd47c679209ac18ef00422bf3378d4c1d051d9d9febefe579770389823e80
