rep_id,territory_id,country,city,sales_manager,sales_team,product_name,product_class,date,total_sales,target_attainment_pct,actual_incentive_paid,anomaly_score,anomaly_flag,model,top_anomaly_drivers,injected_anomaly_flag,anomaly_type,total_sales_all_rows,total_incentive_all_rows,flagged_observations,observations,flagged_observation_rate
REP_00003,TERR_INDIA_MUMBAI,India,Mumbai,MGR_01,Team_Apex,Oncora,Oncology,2025-06-01,2225.75,57.662842814357504,266.3184782209094,1.0,True,K-Means,Incentive variance below cluster center (96% of centroid distance; cluster-median difference -726.61) | Incentive variance percentage above cluster center (1% of centroid distance; cluster-median difference 0.02) | Incentive-to-sales ratio below cluster center (1% of centroid distance; cluster-median difference -1.67) | Incentive per customer below cluster center (0% of centroid distance; cluster-median difference -722.80) | Incentive per call below cluster center (0% of centroid distance; cluster-median difference -484.06),True,low_coverage_high_incentive,397952.05903277965,112669.62064691877,17,131,0.1297709923664122
REP_00030,TERR_BRAZIL_BRASILIA,Brazil,Brasilia,MGR_04,Team_Delta,Immunara,Immunology,2025-06-01,1274.73,64.8130464296756,312.6013323876526,0.9997596731554914,True,K-Means,Incentive variance below cluster center (93% of centroid distance; cluster-median difference -699.71) | Incentive variance percentage above cluster center (2% of centroid distance; cluster-median difference 0.06) | Travel per customer above cluster center (2% of centroid distance; cluster-median difference 4.49) | Incentive-to-sales ratio below cluster center (1% of centroid distance; cluster-median difference -1.54) | Incentive per call below cluster center (0% of centroid distance; cluster-median difference -510.31),True,low_coverage_high_incentive,105393.1344775448,75168.61168293546,9,94,0.09574468085106383
REP_00005,TERR_UNITED_STATES_HOUSTON,United States,Houston,MGR_01,Team_Apex,Glycoban,Diabetes,2025-04-01,1644.15,65.328418053466,319.2970491630538,0.9995193463109829,True,K-Means,Incentive variance below cluster center (94% of centroid distance; cluster-median difference -696.03) | Incentive variance percentage above cluster center (2% of centroid distance; cluster-median difference 0.06) | Travel per customer above cluster center (1% of centroid distance; cluster-median difference 1.89) | Incentive-to-sales ratio below cluster center (1% of centroid distance; cluster-median difference -1.59) | Incentive per customer below cluster center (0% of centroid distance; cluster-median difference -696.31),True,low_coverage_high_incentive,116745.40054868675,61415.101653028665,8,94,0.0851063829787234
REP_00023,TERR_INDIA_BENGALURU,India,Bengaluru,MGR_03,Team_Catalyst,Oncora,Oncology,2024-10-01,2188.84,66.67200001573076,272.4986084207778,0.9990386926219659,True,K-Means,Incentive variance percentage above cluster center (91% of centroid distance; cluster-median difference 0.93) | Incentive variance above cluster center (6% of centroid distance; cluster-median difference 131.56) | Travel per customer above cluster center (1% of centroid distance; cluster-median difference 1.73) | Calls Per Customer above cluster center (0% of centroid distance; cluster-median difference 1.40) | Activity efficiency above cluster center (0% of centroid distance; cluster-median difference 705.33),True,low_coverage_high_incentive,161182.76297267582,52645.005079728006,8,101,0.07920792079207921
REP_00013,TERR_INDIA_DELHI,India,Delhi,MGR_02,Team_Bridge,Glycoban,Diabetes,2024-01-01,219.87425102688283,7.793324026556231,85.73527874562953,0.9987983657774573,True,K-Means,Incentive variance percentage above cluster center (98% of centroid distance; cluster-median difference 0.95) | Incentive variance above cluster center (1% of centroid distance; cluster-median difference 41.71) | Target attainment below cluster center (0% of centroid distance; cluster-median difference -80.53) | Sales per call below cluster center (0% of centroid distance; cluster-median difference -384.59) | Activity efficiency below cluster center (0% of centroid distance; cluster-median difference -334.12),True,duplicate_suspicious_activity_pattern,338788.84500615153,98590.59941370356,11,130,0.08461538461538462
REP_00031,TERR_UNITED_KINGDOM_LONDON,United Kingdom,London,MGR_04,Team_Delta,Neurocalm,Neurology,2025-03-01,1844.750713782372,46.018765980947066,1767.778941266724,0.9985580389329488,True,K-Means,Incentive variance percentage below cluster center (62% of centroid distance; cluster-median difference -0.78) | Incentive variance below cluster center (36% of centroid distance; cluster-median difference -401.52) | Quantity above cluster center (0% of centroid distance; cluster-median difference 42.00) | Incentive-to-sales ratio below cluster center (0% of centroid distance; cluster-median difference -0.83) | Incentive per customer below cluster center (0% of centroid distance; cluster-median difference -502.40),True,high_incentive_low_target_attainment,238807.7650880737,88581.64230319727,9,120,0.075
REP_00029,TERR_BRAZIL_BRASILIA,Brazil,Brasilia,MGR_04,Team_Delta,Glycoban,Diabetes,2025-06-01,774.3078594210731,37.643966672507275,836.4868228366819,0.9983177120884402,True,K-Means,Incentive variance percentage above cluster center (53% of centroid distance; cluster-median difference 0.60) | Incentive variance above cluster center (45% of centroid distance; cluster-median difference 312.95) | Territory customer density below cluster center (0% of centroid distance; cluster-median difference -0.22) | Workload above cluster center (0% of centroid distance; cluster-median difference 0.03) | Incentive-to-sales ratio above cluster center (0% of centroid distance; cluster-median difference 0.66),True,duplicate_suspicious_activity_pattern,131334.7175799396,77287.17722134778,10,118,0.0847457627118644
REP_00035,TERR_UNITED_STATES_CHICAGO,United States,Chicago,MGR_08,Team_Delta,Neurocalm,Neurology,2024-11-01,264.2445336262424,30.67452309709812,826.0996859644788,0.9980773852439317,True,K-Means,Incentive variance below cluster center (82% of centroid distance; cluster-median difference -521.54) | Incentive variance percentage below cluster center (14% of centroid distance; cluster-median difference -0.41) | Incentive-to-sales ratio above cluster center (1% of centroid distance; cluster-median difference 1.34) | Calls Per Customer above cluster center (0% of centroid distance; cluster-median difference 1.75) | Incentive per call below cluster center (0% of centroid distance; cluster-median difference -407.61),True,duplicate_suspicious_activity_pattern,168641.93263134256,72706.83083221006,5,108,0.046296296296296294
REP_00009,TERR_UNITED_KINGDOM_MANCHESTER,United Kingdom,Manchester,MGR_05,Team_Apex,Cardiovex,Cardiovascular,2025-04-01,333.36229649602166,15.48441291153402,140.40623115109048,0.9975967315549147,True,K-Means,Incentive variance percentage above cluster center (95% of centroid distance; cluster-median difference 0.68) | Incentive variance above cluster center (2% of centroid distance; cluster-median difference 57.04) | Calls Per Customer above cluster center (1% of centroid distance; cluster-median difference 1.07) | Travel per customer above cluster center (0% of centroid distance; cluster-median difference 0.81) | Target attainment below cluster center (0% of centroid distance; cluster-median difference -72.84),True,duplicate_suspicious_activity_pattern,150733.68211476997,88075.56493631296,6,115,0.05217391304347826
REP_00033,TERR_UNITED_KINGDOM_LONDON,United Kingdom,London,MGR_04,Team_Delta,Respira,Respiratory,2025-03-01,474.71032385895256,38.222281795616105,996.4643627693879,0.9973564047104061,True,K-Means,Incentive variance below cluster center (76% of centroid distance; cluster-median difference -451.30) | Incentive variance percentage below cluster center (20% of centroid distance; cluster-median difference -0.41) | Activity versus peer median above cluster center (2% of centroid distance; cluster-median difference 1.50) | Incentive per call below cluster center (0% of centroid distance; cluster-median difference -373.54) | Workload above cluster center (0% of centroid distance; cluster-median difference 0.04),True,duplicate_suspicious_activity_pattern,280665.77916436386,93542.15417564314,5,127,0.03937007874015748
