model,grouping,value,support,captured_at_5pct,recall_at_5pct
K-Means,anomaly_type,payout_spike,1,0,0.0
K-Means,anomaly_type,payout_reduction,1,0,0.0
K-Means,anomaly_type,payout_mismatch,1,1,1.0
K-Means,anomaly_type,adjustment_anomaly,1,0,0.0
K-Means,anomaly_type,sales_spike,1,0,0.0
K-Means,anomaly_type,quantity_spike,1,0,0.0
K-Means,anomaly_type,quantity_mismatch,1,0,0.0
K-Means,anomaly_type,price_anomaly,1,0,0.0
K-Means,anomaly_type,customer_burst,1,1,1.0
K-Means,anomaly_type,customer_collapse,1,0,0.0
K-Means,anomaly_type,product_mix_shift,1,0,0.0
K-Means,anomaly_type,distributor_shift,1,0,0.0
K-Means,anomaly_type,geographic_change,1,0,0.0
K-Means,anomaly_type,peer_divergence,1,0,0.0
K-Means,anomaly_type,inactivity_burst,2,2,1.0
K-Means,anomaly_type,upward_level_shift,2,0,0.0
K-Means,anomaly_type,downward_level_shift,0,0,
K-Means,anomaly_type,end_period_spike,1,0,0.0
K-Means,severity,low,7,0,0.0
K-Means,severity,medium,6,0,0.0
K-Means,severity,high,6,4,0.6666666666666666
K-Means,business_family,payout spike,1,0,0.0
K-Means,business_family,payout mismatch,2,1,0.5
K-Means,business_family,adjustment anomaly,1,0,0.0
K-Means,business_family,sales spike,1,0,0.0
K-Means,business_family,quantity mismatch,3,0,0.0
K-Means,business_family,customer shift,2,1,0.5
K-Means,business_family,product-mix shift,1,0,0.0
K-Means,business_family,peer deviation,1,0,0.0
K-Means,business_family,temporal spike,3,2,0.6666666666666666
K-Means,business_family,level shift,2,0,0.0
K-Means,business_family,trend break,2,0,0.0
DBSCAN,anomaly_type,payout_spike,1,1,1.0
DBSCAN,anomaly_type,payout_reduction,1,0,0.0
DBSCAN,anomaly_type,payout_mismatch,1,1,1.0
DBSCAN,anomaly_type,adjustment_anomaly,1,1,1.0
DBSCAN,anomaly_type,sales_spike,1,0,0.0
DBSCAN,anomaly_type,quantity_spike,1,0,0.0
DBSCAN,anomaly_type,quantity_mismatch,1,0,0.0
DBSCAN,anomaly_type,price_anomaly,1,0,0.0
DBSCAN,anomaly_type,customer_burst,1,1,1.0
DBSCAN,anomaly_type,customer_collapse,1,0,0.0
DBSCAN,anomaly_type,product_mix_shift,1,0,0.0
DBSCAN,anomaly_type,distributor_shift,1,0,0.0
