column,dtype,non_null_count,missing_count,missing_pct,cardinality,most_common_value,most_common_count,min,p25,median,mean,p75,max,std
distributor,object,9000,0,0.0,6,DIST_01,1840.0,,,,,,,
customer,object,9000,0,0.0,540,CUST_06_025,34.0,,,,,,,
city,object,9000,0,0.0,12,New York,961.0,,,,,,,
country,object,9000,0,0.0,4,India,2625.0,,,,,,,
latitude,float64,9000,0,0.0,9000,,,-23.61441124513152,12.958299209681202,28.641609114493072,23.070426181691044,41.89084668007838,53.562621177036064,26.607930128224215
longitude,float64,9000,0,0.0,9000,,,-95.46712716011241,-73.97326623149661,-2.2570175632451406,-10.25617049700397,72.87184565539388,77.67886930427373,62.56382506830357
channel,object,9000,0,0.0,3,Hospital,3841.0,,,,,,,
subchannel,object,9000,0,0.0,6,Public Hospital,1982.0,,,,,,,
product_name,object,9000,0,0.0,8,Glycoban,1439.0,,,,,,,
product_class,object,9000,0,0.0,8,Diabetes,1439.0,,,,,,,
quantity,int64,9000,0,0.0,27,,,1.0,7.0,9.0,9.537444444444445,12.0,27.0,3.9144561732315366
price,float64,9000,0,0.0,6559,,,29.86,52.875,81.85,94.27368666666666,119.1,277.8,51.33634680156971
sales,float64,9000,0,0.0,8734,,,33.76,479.95000000000005,747.9449999999999,837.6185966666667,1090.82,3747.87,478.71726820016386
month,object,9000,0,0.0,12,March,1073.0,,,,,,,
year,int32,9000,0,0.0,2,,,2024.0,2024.0,2024.0,2024.3425555555555,2025.0,2025.0,0.4745906374615435
sales_manager,object,9000,0,0.0,8,MGR_02,1689.0,,,,,,,
sales_team,object,9000,0,0.0,4,Team_Catalyst,2438.0,,,,,,,
date,datetime64[ns],9000,0,0.0,18,2025-04-01,548.0,,,,,,,
