model,configuration_id,k,eps,min_samples,inertia,runtime_seconds,stability_score,interpretability_score,deterministic_fixed_input,valid_configuration,rejection_reason,number_of_clusters,noise_percentage,smallest_cluster_pct,largest_cluster_pct,cluster_balance,silhouette_score,davies_bouldin_score,calinski_harabasz_score,selection_score,selected
DBSCAN,dbscan_eps_3.46729_min_5,,3.4672909335435667,5,,0.06110549997538328,0.9745081824994052,0.7259550295197287,True,False,smallest cluster below 0.5%,4,21.74957942802211,0.1201634222542658,77.577505407354,0.0015489467162329617,0.2072396183986035,0.7373578130863163,606.5684643853648,-1.0,False
DBSCAN,dbscan_eps_3.71213_min_5,,3.712129910927173,5,,0.06468970002606511,0.9820580943964806,0.8567016676961087,True,False,smallest cluster below 0.5%,2,16.726748377793797,0.3364575823119442,82.93679403989425,0.004056795131845842,0.9178644134848492,0.09224797430377107,1925.1609573553383,-1.0,False
DBSCAN,dbscan_eps_4.03210_min_5,,4.032104936179915,5,,0.07770239980891347,0.9803442361310148,0.8931101094655505,True,False,smallest cluster below 0.5%,2,11.968276856524874,0.3604902667627974,87.67123287671232,0.004111842105263158,0.9149347842363661,0.09847967517331888,2797.910035973794,-1.0,False
DBSCAN,dbscan_eps_4.27449_min_5,,4.274494337966444,5,,0.08596879988908768,0.9842131149616679,0.9117002629272568,True,True,,2,9.685171833693824,0.5287190579187695,89.78610910838741,0.005888650963597431,0.9130584564409069,0.10536764532770419,2909.622078888012,0.7039764097558205,False
DBSCAN,dbscan_eps_4.64112_min_5,,4.641116387898186,5,,0.09955489984713495,0.9904016629667534,0.8685251978759643,True,False,smallest cluster below 0.5%,3,7.137707281903388,0.1201634222542658,92.21341023792358,0.0013031013812874641,0.6097706609826926,0.22470703531518765,1366.0376246753765,-1.0,False
DBSCAN,dbscan_eps_5.35748_min_5,,5.357475047822466,5,,0.15547459991648793,0.9884818815780455,0.8342422249667185,True,False,smallest cluster below 0.5%,4,3.869262196587359,0.1201634222542658,94.95313626532084,0.0012655024044545685,0.3362684289967917,0.7031852816145248,1560.2819852442894,-1.0,False
DBSCAN,dbscan_eps_3.66742_min_8,,3.6674236268373557,8,,0.059386900160461664,0.9812148144979377,0.6971437379369504,True,False,smallest cluster below 0.5%,5,19.442441720740206,0.09613073780341264,79.74044700793078,0.0012055455093429777,0.19933049092923527,0.7179367896362786,299.46154132465415,-1.0,False
DBSCAN,dbscan_eps_3.91963_min_8,,3.9196266120465526,8,,0.06257730000652373,0.9833136441767246,0.8721442045692727,True,False,smallest cluster below 0.5%,2,14.659937515020427,0.3604902667627974,84.97957221821677,0.004242081447963801,0.9161755267885057,0.09971071351198124,1847.5184366100505,-1.0,False
DBSCAN,dbscan_eps_4.22822_min_8,,4.2282200452940915,8,,0.06739610014483333,0.9847944388297113,0.9031907966138486,True,False,smallest cluster below 0.5%,2,10.718577265080508,0.4085556356645037,88.87286709925498,0.004597079502433748,0.9143175999119978,0.10046495866083614,2757.629679350296,-1.0,False
DBSCAN,dbscan_eps_4.52749_min_8,,4.5274864031897035,8,,0.08109639980830252,0.9889760171592211,0.921390611160319,True,False,smallest cluster below 0.5%,2,8.531602980052872,0.43258832011535686,91.03580869983176,0.004751847940865892,0.9123825416604143,0.10021685805635488,2615.336979698638,-1.0,False
