kind,weights,selection_utility,precision,recall,F1,F2,PR_AUC,ROC_AUC,Precision@1%,Recall@1%,Lift@1%,Precision@5%,Recall@5%,Lift@5%,Precision@10%,Recall@10%,Lift@10%,top_decile_capture
maximum,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.46222940951573666,0.5,0.41379310344827586,0.4528301886792453,0.42857142857142855,0.5274947060553513,0.9521640091116172,0.4,0.06896551724137931,6.455172413793104,0.5,0.41379310344827586,8.068965517241379,0.46808510638297873,0.7586206896551724,7.553925165077036,0.7586206896551724
weighted,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.3, ""Business Rules"": 0.15}",0.2150507044143966,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.22358735216899642,0.7626266593354802,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.1702127659574468,0.27586206896551724,2.746881878209831,0.27586206896551724
weighted,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.3}",0.21353336757273195,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.21979401006483473,0.7562642369020501,0.6,0.10344827586206896,9.682758620689654,0.25,0.20689655172413793,4.0344827586206895,0.14893617021276595,0.2413793103448276,2.403521643433602,0.2413793103448276
equal_percentile,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.2133734397740466,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.21939419056812137,0.7575210117037153,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.14893617021276595,0.2413793103448276,2.403521643433602,0.2413793103448276
rank_average,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.2133734397740466,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.21939419056812137,0.7575210117037153,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.14893617021276595,0.2413793103448276,2.403521643433602,0.2413793103448276
weighted,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.4, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.2132982586999444,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.21920623788286592,0.7276726101641662,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.2127659574468085,0.3448275862068966,3.433602347762289,0.3448275862068966
weighted,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.4, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.20784314932328568,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.20556846444121904,0.7374126148770717,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.2127659574468085,0.3448275862068966,3.433602347762289,0.3448275862068966
weighted,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.2040846584604019,0.25,0.20689655172413793,0.22641509433962265,0.21428571428571427,0.19617223728400973,0.7481737491163302,0.4,0.06896551724137931,6.455172413793104,0.25,0.20689655172413793,4.0344827586206895,0.1702127659574468,0.27586206896551724,2.746881878209831,0.27586206896551724
consensus,"{""Isolation Forest"": 0.3, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.20025129984761839,0.20833333333333334,0.1724137931034483,0.18867924528301888,0.17857142857142858,0.23892874222988336,0.8128976514020894,0.4,0.06896551724137931,6.455172413793104,0.20833333333333334,0.1724137931034483,3.3620689655172415,0.23404255319148937,0.3793103448275862,3.776962582538518,0.3793103448275862
weighted,"{""Isolation Forest"": 0.6, ""EWMA Residual"": 0.2, ""Robust Peer Baseline"": 0.2, ""PCA Reconstruction"": 0.15, ""Business Rules"": 0.15}",0.18038348444525734,0.20833333333333334,0.1724137931034483,0.18867924528301888,0.17857142857142858,0.18925920372398075,0.7439321341607101,0.4,0.06896551724137931,6.455172413793104,0.20833333333333334,0.1724137931034483,3.3620689655172415,0.1702127659574468,0.27586206896551724,2.746881878209831,0.27586206896551724
