model,configuration_id,k,eps,min_samples,inertia,runtime_seconds,stability_score,interpretability_score,valid_configuration,rejection_reason,number_of_clusters,noise_percentage,smallest_cluster_pct,largest_cluster_pct,cluster_balance,silhouette_score,davies_bouldin_score,calinski_harabasz_score,selection_score,selected
K-Means,kmeans_k_2,2,,,161736.5803501826,1.6893473998643458,1.0,1.0,False,largest cluster exceeds 90.0%,2,0.0,2.3311703917327566,97.66882960826723,0.02386811023622047,0.8853616246940597,0.3086351199699913,4689.907205341722,-1.0,False
K-Means,kmeans_k_3,3,,,135589.82075416925,0.12982720020227134,0.9985792923571069,0.9259259259259258,True,,3,0.0,2.3311703917327566,67.65200672915165,0.034458259325044406,0.24811063532846736,1.3304027164937968,3000.043748470106,0.5901422246171509,True
K-Means,kmeans_k_4,4,,,118021.67517691602,0.18264909996651113,0.990109133999876,0.8620689655172414,False,smallest cluster below 1.0%,4,0.0,0.6248497957221821,67.45974525354482,0.009262557890986818,0.25023099123755405,1.1989663116781504,2532.2846193440346,-1.0,False
K-Means,kmeans_k_5,5,,,109613.93382893034,0.24421520018950105,0.9840580639516464,0.8064516129032259,False,smallest cluster below 1.0%,5,0.0,0.6248497957221821,44.893054554193704,0.013918629550321198,0.1405706838266554,1.5454059957630144,2077.1257377757684,-1.0,False
K-Means,kmeans_k_6,6,,,103114.81265200314,0.2235477000940591,0.9915787235346353,0.7575757575757576,False,smallest cluster below 1.0%,6,0.0,0.6248497957221821,34.24657534246575,0.018245614035087718,0.12272480095063101,1.6456123650564163,1793.5456630576332,-1.0,False
K-Means,kmeans_k_7,7,,,98485.61470607446,0.23392449994571507,0.9790898566759032,0.7142857142857143,False,smallest cluster below 1.0%,7,0.0,0.2403268445085316,34.29464071136746,0.00700770847932726,0.12002800202396478,1.6253104382839536,1538.5129201933337,-1.0,False
K-Means,kmeans_k_8,8,,,93900.92390620895,0.26074060006067157,0.9675928319393337,0.6756756756756757,False,smallest cluster below 1.0%,8,0.0,0.1682287911559721,30.20908435472242,0.005568814638027049,0.12101348019931787,1.6210985283436639,1411.3062357134495,-1.0,False
K-Means,kmeans_k_9,9,,,90133.69578756405,0.27770960005000234,0.9649945331357492,0.641025641025641,False,smallest cluster below 1.0%,9,0.0,0.1682287911559721,28.59889449651526,0.0058823529411764705,0.12565433419928693,1.5918821967559795,1301.0389643554704,-1.0,False
K-Means,kmeans_k_10,10,,,86761.64463597283,0.28980899997986853,0.9651242135756957,0.6097560975609756,False,smallest cluster below 1.0%,10,0.0,0.1682287911559721,27.132900745013217,0.006200177147918512,0.12954898896881933,1.5860638939810123,1206.1365621873563,-1.0,False
K-Means,kmeans_k_11,11,,,84663.29230192305,0.33446939988061786,0.6835738652749083,0.5813953488372093,False,smallest cluster below 1.0%,11,0.0,0.1682287911559721,24.633501562124486,0.006829268292682927,0.12614999547605665,1.6570030791269252,1117.239645557003,-1.0,False
K-Means,kmeans_k_12,12,,,82708.97264046846,0.30518489982932806,0.7164178763382499,0.5555555555555556,False,smallest cluster below 1.0%,12,0.0,0.1682287911559721,24.825763037731313,0.006776379477250726,0.11059671693230802,1.7474241588643578,1044.111686801364,-1.0,False
