model,K-Means,DBSCAN,Isolation Forest,Autoencoder,PCA Reconstruction,Rolling Residual,EWMA Residual,Seasonal Residual,Change-Point / Level Shift,Robust Peer Baseline,Business Rules,Best Ensemble
K-Means,1.0,0.9167177969952108,0.8151472676385585,0.4964782413086929,0.4652077869822125,0.3039953218818374,0.2933044029915135,0.1370316444354649,0.08864221792984692,0.4084561399937052,0.2876850317385939,0.5746578306903022
DBSCAN,0.9167177969952108,1.0,0.7660577035756811,0.6301198668164695,0.5651197854528098,0.31162822891931174,0.2913290806480106,0.19388352518642032,0.13168223242869648,0.43460144361668895,0.37983989525065565,0.6617268974327365
Isolation Forest,0.8151472676385585,0.7660577035756811,1.0,0.4177483057920272,0.4308760688638601,0.38411757810802405,0.37616269547619224,0.18093620128900312,0.1014860558933523,0.42600384456837515,0.28129118658828256,0.5718038978929387
Autoencoder,0.4964782413086929,0.6301198668164695,0.4177483057920272,1.0,0.8000723960965579,0.252775079069827,0.23475722079065106,0.24992311412483328,0.11694603278937604,0.2768965897152163,0.25090011789855415,0.7625177404972221
PCA Reconstruction,0.4652077869822125,0.5651197854528098,0.4308760688638601,0.8000723960965579,1.0,0.25181410977685525,0.23366624533168687,0.15585384530671118,0.03217538151429613,0.2784904200679457,0.2426943058576382,0.9410815887852546
Rolling Residual,0.3039953218818374,0.31162822891931174,0.38411757810802405,0.252775079069827,0.25181410977685525,1.0,0.841064652359835,0.5776685993704798,0.11796934881260857,0.36648674035988205,0.2963164285838225,0.3162764942269125
EWMA Residual,0.2933044029915135,0.2913290806480106,0.37616269547619224,0.23475722079065106,0.23366624533168687,0.841064652359835,1.0,0.5355024847581024,0.07058117819840606,0.3054681704900394,0.2817421478883588,0.3058772541977502
Seasonal Residual,0.1370316444354649,0.19388352518642032,0.18093620128900312,0.24992311412483328,0.15585384530671118,0.5776685993704798,0.5355024847581024,1.0,0.16400594100857338,0.2613426577277162,0.23302180918886975,0.18732724092068329
Change-Point / Level Shift,0.08864221792984692,0.13168223242869648,0.1014860558933523,0.11694603278937604,0.03217538151429613,0.11796934881260857,0.07058117819840606,0.16400594100857338,1.0,0.08224537118207083,0.05069211792270395,0.04654090851827618
Robust Peer Baseline,0.4084561399937052,0.43460144361668895,0.42600384456837515,0.2768965897152163,0.2784904200679457,0.36648674035988205,0.3054681704900394,0.2613426577277162,0.08224537118207083,1.0,0.2801030284415888,0.3421277905504133
Business Rules,0.2876850317385939,0.37983989525065565,0.28129118658828256,0.25090011789855415,0.2426943058576382,0.2963164285838225,0.2817421478883588,0.23302180918886975,0.05069211792270395,0.2801030284415888,1.0,0.32199105156487184
Best Ensemble,0.5746578306903022,0.6617268974327365,0.5718038978929387,0.7625177404972221,0.9410815887852546,0.3162764942269125,0.3058772541977502,0.18732724092068329,0.04654090851827618,0.3421277905504133,0.32199105156487184,1.0
