model,validation_recall_component,validation_pr_auc_component,validation_f2_component,stability_component,selection_utility,selected
K-Means,0.0993103448275862,0.10227249860664621,0.05142857142857142,0.09791666666666668,0.3509280815294705,False
DBSCAN,0.136551724137931,0.12938533491233134,0.07071428571428572,0.1,0.43665134476454814,False
Isolation Forest,0.0496551724137931,0.039697560291866066,0.02571428571428571,0.07916666666666666,0.19423368508661157,False
Autoencoder,0.17379310344827587,0.2124858000817243,0.09,0.09166666666666667,0.5679455701966669,False
PCA Reconstruction,0.18620689655172415,0.22642725167349348,0.09642857142857142,0.1,0.6090627196537891,True
Rolling Residual,0.07448275862068965,0.0754872583739015,0.03857142857142857,0.1,0.28854144556601974,False
EWMA Residual,0.07448275862068965,0.07665604228354951,0.03857142857142857,0.1,0.2897102294756677,False
Seasonal Residual,0.06206896551724138,0.06925327868927128,0.03214285714285714,0.1,0.26346510134936985,False
Change-Point / Level Shift,0.037241379310344824,0.0289539554093871,0.019285714285714285,0.1,0.18548104900544624,False
Robust Peer Baseline,0.037241379310344824,0.04661794055491897,0.019285714285714285,0.1,0.2031450341509781,False
Business Rules,0.0993103448275862,0.0901496332176911,0.05142857142857142,0.1,0.3408885494738487,False
Best Ensemble,0.1489655172413793,0.18989809417992648,0.07714285714285714,0.1,0.516006468564163,False
