model,K-Means,DBSCAN,Isolation Forest,Autoencoder,PCA Reconstruction,Rolling Residual,EWMA Residual,Seasonal Residual,Change-Point / Level Shift,Robust Peer Baseline,Business Rules,Best Ensemble
K-Means,1.0,0.8333333333333334,0.5833333333333334,0.4583333333333333,0.4583333333333333,0.25,0.20833333333333334,0.20833333333333334,0.0,0.3333333333333333,0.4583333333333333,0.5416666666666666
DBSCAN,0.8333333333333334,1.0,0.5,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.25,0.20833333333333334,0.0,0.3333333333333333,0.4583333333333333,0.6666666666666666
Isolation Forest,0.5833333333333334,0.5,1.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.16666666666666666,0.041666666666666664,0.4166666666666667,0.4166666666666667,0.2916666666666667
Autoencoder,0.4583333333333333,0.5833333333333334,0.20833333333333334,1.0,0.75,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.125,0.3333333333333333,0.7083333333333334
PCA Reconstruction,0.4583333333333333,0.5833333333333334,0.20833333333333334,0.75,1.0,0.16666666666666666,0.16666666666666666,0.125,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.75
Rolling Residual,0.25,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.16666666666666666,1.0,0.875,0.6666666666666666,0.041666666666666664,0.2916666666666667,0.25,0.25
EWMA Residual,0.20833333333333334,0.25,0.25,0.16666666666666666,0.16666666666666666,0.875,1.0,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.25,0.25
Seasonal Residual,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.125,0.6666666666666666,0.5833333333333334,1.0,0.041666666666666664,0.2916666666666667,0.16666666666666666,0.16666666666666666
Change-Point / Level Shift,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,1.0,0.08333333333333333,0.041666666666666664,0.08333333333333333
Robust Peer Baseline,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.125,0.16666666666666666,0.2916666666666667,0.3333333333333333,0.2916666666666667,0.08333333333333333,1.0,0.375,0.3333333333333333
Business Rules,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.3333333333333333,0.2916666666666667,0.25,0.25,0.16666666666666666,0.041666666666666664,0.375,1.0,0.4166666666666667
Best Ensemble,0.5416666666666666,0.6666666666666666,0.2916666666666667,0.7083333333333334,0.75,0.25,0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.4166666666666667,1.0
