experiment,seed,model,prevalence,precision,recall,F1,F2,PR_AUC,ROC_AUC,Precision@1%,Recall@1%,Lift@1%,Precision@5%,Recall@5%,Lift@5%,Precision@10%,Recall@10%,Lift@10%,top_decile_capture
primary,42,K-Means,0.060897435897435896,0.25,0.21052631578947367,0.22857142857142856,0.21739130434782608,0.2186328953679986,0.7905514639841925,0.25,0.05263157894736842,4.105263157894737,0.25,0.21052631578947367,4.105263157894737,0.21875,0.3684210526315789,3.5921052631578947,0.3684210526315789
primary,42,DBSCAN,0.060897435897435896,0.375,0.3157894736842105,0.34285714285714286,0.32608695652173914,0.2974568932826843,0.8342015448176755,0.5,0.10526315789473684,8.210526315789474,0.375,0.3157894736842105,6.157894736842105,0.28125,0.47368421052631576,4.618421052631579,0.47368421052631576
primary,42,Isolation Forest,0.060897435897435896,0.125,0.10526315789473684,0.11428571428571428,0.10869565217391304,0.13002200544608591,0.6921142446560086,0.0,0.0,0.0,0.125,0.10526315789473684,2.0526315789473686,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
primary,42,Autoencoder,0.060897435897435896,0.5,0.42105263157894735,0.45714285714285713,0.43478260869565216,0.38206250183172186,0.8072570504760194,0.5,0.10526315789473684,8.210526315789474,0.5,0.42105263157894735,8.210526315789474,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
primary,42,PCA Reconstruction,0.060897435897435896,0.5,0.42105263157894735,0.45714285714285713,0.43478260869565216,0.3946251236994534,0.8437219328183941,0.5,0.10526315789473684,8.210526315789474,0.5,0.42105263157894735,8.210526315789474,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
primary,42,Rolling Residual,0.060897435897435896,0.1875,0.15789473684210525,0.17142857142857143,0.16304347826086957,0.12047260618725698,0.6511586132566912,0.0,0.0,0.0,0.1875,0.15789473684210525,3.0789473684210527,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
primary,42,EWMA Residual,0.060897435897435896,0.1875,0.15789473684210525,0.17142857142857143,0.16304347826086957,0.11689426848919401,0.6292437578588108,0.0,0.0,0.0,0.1875,0.15789473684210525,3.0789473684210527,0.15625,0.2631578947368421,2.5657894736842106,0.2631578947368421
primary,42,Seasonal Residual,0.060897435897435896,0.125,0.10526315789473684,0.11428571428571428,0.10869565217391304,0.10794362683533681,0.6472067540865817,0.0,0.0,0.0,0.125,0.10526315789473684,2.0526315789473686,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
primary,42,Change-Point / Level Shift,0.060897435897435896,0.0,0.0,0.0,0.0,0.07609653295462925,0.5624214118915034,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.15789473684210525,1.5394736842105263,0.15789473684210525
primary,42,Robust Peer Baseline,0.060897435897435896,0.1875,0.15789473684210525,0.17142857142857143,0.16304347826086957,0.16516650055117948,0.7045985270343093,0.5,0.10526315789473684,8.210526315789474,0.1875,0.15789473684210525,3.0789473684210527,0.21875,0.3684210526315789,3.5921052631578947,0.3684210526315789
primary,42,Business Rules,0.060897435897435896,0.25,0.21052631578947367,0.22857142857142856,0.21739130434782608,0.23771431346554364,0.6837614514100951,0.5,0.10526315789473684,8.210526315789474,0.25,0.21052631578947367,4.105263157894737,0.1875,0.3157894736842105,3.0789473684210527,0.3157894736842105
primary,42,Best Ensemble,0.060897435897435896,0.5625,0.47368421052631576,0.5142857142857142,0.4891304347826087,0.3496436814061063,0.8580923298006107,0.5,0.10526315789473684,8.210526315789474,0.5625,0.47368421052631576,9.236842105263158,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
low_prevalence,143,K-Means,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.08633470042365309,0.7895765472312704,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,DBSCAN,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.10635327635327638,0.8078175895765474,0.0,0.0,0.0,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,Isolation Forest,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.06375580862232867,0.48078175895765474,0.25,0.2,15.600000000000001,0.0625,0.2,3.9000000000000004,0.03125,0.2,1.9500000000000002,0.2
low_prevalence,143,Autoencoder,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.2315824915824916,0.898371335504886,0.25,0.2,15.600000000000001,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,143,PCA Reconstruction,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.27354891393107955,0.8729641693811074,0.25,0.2,15.600000000000001,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,143,Rolling Residual,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.05607040111246428,0.6560260586319219,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,EWMA Residual,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.048672126438264504,0.5107491856677524,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,Seasonal Residual,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.040813871539678,0.5250814332247556,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,Change-Point / Level Shift,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.03632511141146989,0.5781758957654723,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.03125,0.2,1.9500000000000002,0.2
low_prevalence,143,Robust Peer Baseline,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.11688521342911275,0.5241042345276873,0.25,0.2,15.600000000000001,0.0625,0.2,3.9000000000000004,0.03125,0.2,1.9500000000000002,0.2
low_prevalence,143,Business Rules,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.12569378775817386,0.6397394136807817,0.25,0.2,15.600000000000001,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,143,Best Ensemble,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.17369211112829944,0.8592833876221498,0.25,0.2,15.600000000000001,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,K-Means,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.1891935721657084,0.7947882736156351,0.25,0.2,15.600000000000001,0.125,0.4,7.800000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,DBSCAN,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.237397210430564,0.7882736156351792,0.5,0.4,31.200000000000003,0.125,0.4,7.800000000000001,0.125,0.8,7.800000000000001,0.8
low_prevalence,144,Isolation Forest,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.24523462045201175,0.5954397394136808,0.25,0.2,15.600000000000001,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,144,Autoencoder,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.22329647753376566,0.8260586319218242,0.5,0.4,31.200000000000003,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,PCA Reconstruction,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.196331699163514,0.7771986970684039,0.5,0.4,31.200000000000003,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,144,Rolling Residual,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.16576409814894535,0.7055374592833876,0.25,0.2,15.600000000000001,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,EWMA Residual,0.016025641025641024,0.1875,0.6,0.2857142857142857,0.4166666666666667,0.16491912373214054,0.6918566775244299,0.25,0.2,15.600000000000001,0.1875,0.6,11.700000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,Seasonal Residual,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.0695557358044719,0.685342019543974,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,Change-Point / Level Shift,0.016025641025641024,0.0,0.0,0.0,0.0,0.03191171939943347,0.6657980456026058,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.2,1.9500000000000002,0.2
low_prevalence,144,Robust Peer Baseline,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.20349706744868035,0.7498371335504885,0.25,0.2,15.600000000000001,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,144,Business Rules,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.11621411876950465,0.7895765472312704,0.0,0.0,0.0,0.125,0.4,7.800000000000001,0.09375,0.6,5.8500000000000005,0.6
low_prevalence,144,Best Ensemble,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.18290603103103106,0.8201954397394137,0.25,0.2,15.600000000000001,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,145,K-Means,0.016025641025641024,0.0625,0.2,0.09523809523809523,0.1388888888888889,0.052803759667248665,0.7361563517915309,0.0,0.0,0.0,0.0625,0.2,3.9000000000000004,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,145,DBSCAN,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.08614097123998114,0.7798045602605863,0.0,0.0,0.0,0.125,0.4,7.800000000000001,0.0625,0.4,3.9000000000000004,0.4
low_prevalence,145,Isolation Forest,0.016025641025641024,0.0,0.0,0.0,0.0,0.0269239730446627,0.6156351791530945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_prevalence,145,Autoencoder,0.016025641025641024,0.25,0.8,0.38095238095238093,0.5555555555555556,0.2804112554112554,0.9322475570032573,0.25,0.2,15.600000000000001,0.25,0.8,15.600000000000001,0.125,0.8,7.800000000000001,0.8
low_prevalence,145,PCA Reconstruction,0.016025641025641024,0.125,0.4,0.19047619047619047,0.2777777777777778,0.2181701631701632,0.9355048859934852,0.25,0.2,15.600000000000001,0.125,0.4,7.800000000000001,0.125,0.8,7.800000000000001,0.8
low_prevalence,145,Rolling Residual,0.016025641025641024,0.0,0.0,0.0,0.0,0.015261947362765494,0.38957654723127033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
