model,Precision@1%,Recall@1%,Lift@1%,Precision@5%,Recall@5%,Lift@5%,Precision@10%,Recall@10%,Lift@10%,top_decile_capture
PCA Reconstruction,0.5,0.10526315789473684,8.210526315789474,0.5,0.42105263157894735,8.210526315789474,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
Autoencoder,0.5,0.10526315789473684,8.210526315789474,0.5,0.42105263157894735,8.210526315789474,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
Best Ensemble,0.5,0.10526315789473684,8.210526315789474,0.5625,0.47368421052631576,9.236842105263158,0.34375,0.5789473684210527,5.644736842105263,0.5789473684210527
DBSCAN,0.5,0.10526315789473684,8.210526315789474,0.375,0.3157894736842105,6.157894736842105,0.28125,0.47368421052631576,4.618421052631579,0.47368421052631576
Business Rules,0.5,0.10526315789473684,8.210526315789474,0.25,0.21052631578947367,4.105263157894737,0.1875,0.3157894736842105,3.0789473684210527,0.3157894736842105
K-Means,0.25,0.05263157894736842,4.105263157894737,0.25,0.21052631578947367,4.105263157894737,0.21875,0.3684210526315789,3.5921052631578947,0.3684210526315789
Robust Peer Baseline,0.5,0.10526315789473684,8.210526315789474,0.1875,0.15789473684210525,3.0789473684210527,0.21875,0.3684210526315789,3.5921052631578947,0.3684210526315789
Isolation Forest,0.0,0.0,0.0,0.125,0.10526315789473684,2.0526315789473686,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
Rolling Residual,0.0,0.0,0.0,0.1875,0.15789473684210525,3.0789473684210527,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
EWMA Residual,0.0,0.0,0.0,0.1875,0.15789473684210525,3.0789473684210527,0.15625,0.2631578947368421,2.5657894736842106,0.2631578947368421
Seasonal Residual,0.0,0.0,0.0,0.125,0.10526315789473684,2.0526315789473686,0.125,0.21052631578947367,2.0526315789473686,0.21052631578947367
Change-Point / Level Shift,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.15789473684210525,1.5394736842105263,0.15789473684210525
