model,split,date,observations,injected_count,precision,recall,F1,F2,PR_AUC,ROC_AUC,Precision@1%,Recall@1%,Lift@1%,Precision@5%,Recall@5%,Lift@5%,Precision@10%,Recall@10%,Lift@10%,top_decile_capture
Rolling Residual,test,2019-01-01,78,6,0.0,0.0,0.0,0.0,0.09731177691704007,0.5138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,1.625,0.16666666666666666
EWMA Residual,test,2019-01-01,78,6,0.0,0.0,0.0,0.0,0.09859864672364674,0.5509259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal Residual,test,2019-01-01,78,6,0.0,0.0,0.0,0.0,0.12802157900197114,0.5902777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,1.625,0.16666666666666666
Change-Point / Level Shift,test,2019-01-01,78,6,0.0,0.0,0.0,0.0,0.08135250551917218,0.4537037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolling Residual,test,2019-02-01,78,5,0.0,0.0,0.0,0.0,0.18086533968787963,0.7452054794520548,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,3.9000000000000004,0.4
EWMA Residual,test,2019-02-01,78,5,0.0,0.0,0.0,0.0,0.16319973932877158,0.6520547945205479,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,3.9000000000000004,0.4
Seasonal Residual,test,2019-02-01,78,5,0.25,0.2,0.2222222222222222,0.20833333333333334,0.18058092802338327,0.7561643835616438,0.0,0.0,0.0,0.25,0.2,3.9000000000000004,0.125,0.2,1.9500000000000002,0.2
Change-Point / Level Shift,test,2019-02-01,78,5,0.0,0.0,0.0,0.0,0.07097993509758216,0.3917808219178083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolling Residual,test,2019-03-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.28539017634250485,0.6296296296296295,1.0,0.16666666666666666,13.0,0.25,0.16666666666666666,3.25,0.125,0.16666666666666666,1.625,0.16666666666666666
EWMA Residual,test,2019-03-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.2946204122674711,0.6458333333333334,1.0,0.16666666666666666,13.0,0.25,0.16666666666666666,3.25,0.25,0.3333333333333333,3.25,0.3333333333333333
Seasonal Residual,test,2019-03-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.19381900222943116,0.6458333333333334,0.0,0.0,0.0,0.25,0.16666666666666666,3.25,0.125,0.16666666666666666,1.625,0.16666666666666666
Change-Point / Level Shift,test,2019-03-01,78,6,0.0,0.0,0.0,0.0,0.14862207982412584,0.6284722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,3.25,0.3333333333333333
Rolling Residual,test,2019-04-01,78,2,0.0,0.0,0.0,0.0,0.07583333333333334,0.4736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,4.875,0.5
EWMA Residual,test,2019-04-01,78,2,0.0,0.0,0.0,0.0,0.052160168598524764,0.45394736842105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seasonal Residual,test,2019-04-01,78,2,0.0,0.0,0.0,0.0,0.0517948717948718,0.4407894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Change-Point / Level Shift,test,2019-04-01,78,2,0.0,0.0,0.0,0.0,0.09429824561403508,0.8157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolling Residual,validation,2018-07-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.3048791486291486,0.8587962962962963,0.0,0.0,0.0,0.25,0.16666666666666666,3.25,0.25,0.3333333333333333,3.25,0.3333333333333333
EWMA Residual,validation,2018-07-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.3126102292768959,0.8356481481481481,0.0,0.0,0.0,0.25,0.16666666666666666,3.25,0.25,0.3333333333333333,3.25,0.3333333333333333
Seasonal Residual,validation,2018-07-01,78,6,0.25,0.16666666666666666,0.2,0.17857142857142858,0.23892116655274548,0.7083333333333334,0.0,0.0,0.0,0.25,0.16666666666666666,3.25,0.25,0.3333333333333333,3.25,0.3333333333333333
