team,country,product_class,date,metric,method,split,observed,prediction
Alfa,Germany,Analgesics,2018-07-01,total_sales,seasonal_naive,validation,7221497.0,8936175.0
Alfa,Germany,Analgesics,2018-07-01,total_sales,moving_average,validation,7221497.0,10254388.0
Alfa,Germany,Analgesics,2018-07-01,total_sales,exponential_smoothing,validation,7221497.0,10413704.199613797
Alfa,Germany,Analgesics,2018-08-01,total_sales,seasonal_naive,validation,2416262.0,14124430.0
Alfa,Germany,Analgesics,2018-08-01,total_sales,moving_average,validation,2416262.0,8381372.666666667
Alfa,Germany,Analgesics,2018-08-01,total_sales,exponential_smoothing,validation,2416262.0,9456042.039729657
Alfa,Germany,Analgesics,2018-09-01,total_sales,seasonal_naive,validation,7003386.0,6704002.0
Alfa,Germany,Analgesics,2018-09-01,total_sales,moving_average,validation,7003386.0,6588900.666666667
Alfa,Germany,Analgesics,2018-09-01,total_sales,exponential_smoothing,validation,7003386.0,7344108.027810759
Alfa,Germany,Analgesics,2018-10-01,total_sales,seasonal_naive,validation,23205475.0,6408587.0
Alfa,Germany,Analgesics,2018-10-01,total_sales,moving_average,validation,23205475.0,5547048.333333333
Alfa,Germany,Analgesics,2018-10-01,total_sales,exponential_smoothing,validation,23205475.0,7241891.419467531
Alfa,Germany,Analgesics,2018-11-01,total_sales,seasonal_naive,validation,8903024.0,6981637.0
Alfa,Germany,Analgesics,2018-11-01,total_sales,moving_average,validation,8903024.0,10875041.0
Alfa,Germany,Analgesics,2018-11-01,total_sales,exponential_smoothing,validation,8903024.0,12030966.493627273
Alfa,Germany,Analgesics,2018-12-01,total_sales,seasonal_naive,validation,8375668.0,24073371.0
Alfa,Germany,Analgesics,2018-12-01,total_sales,moving_average,validation,8375668.0,13037295.0
Alfa,Germany,Analgesics,2018-12-01,total_sales,exponential_smoothing,validation,8375668.0,11092583.74553909
Alfa,Germany,Analgesics,2019-01-01,total_sales,seasonal_naive,test,2654377.0,7742372.0
Alfa,Germany,Analgesics,2019-01-01,total_sales,moving_average,test,2654377.0,13494722.333333334
