metric,method,split,MAE,RMSE,WAPE,sMAPE,bias
distinct_cities,exponential_smoothing,test,21.72698832954387,25.176867402226456,0.14592072755255434,0.14539590370932368,2.860901388949898
distinct_cities,exponential_smoothing,validation,17.05688942671789,23.552561858120566,0.13067631822980297,0.12591487294511255,-0.4812914793789527
distinct_cities,moving_average,test,28.170138888888886,31.837314323499925,0.18919360104472738,0.1896207873998558,-0.8645833333333327
distinct_cities,moving_average,validation,18.283564814814813,24.97530416033476,0.14007412924735757,0.1359375432754705,-0.6099537037037039
distinct_cities,seasonal_naive,test,15.979166666666666,19.387495970341295,0.10731775570169302,0.10832536401656064,5.4375
distinct_cities,seasonal_naive,validation,17.164351851851855,21.994861212407923,0.13149960984606657,0.12739094894980807,2.1759259259259256
distinct_customers,exponential_smoothing,test,21.75307108211555,25.21175667747165,0.1459631525744805,0.14538655558129499,2.8900381408307863
distinct_customers,exponential_smoothing,validation,17.08901454633404,23.610275319049737,0.1308249917422702,0.1260059397375453,-0.48865363581124616
distinct_customers,moving_average,test,28.197916666666668,31.87811350080758,0.1892080799608583,0.1895759449013704,-0.84375
distinct_customers,moving_average,validation,18.307870370370367,25.035884739536527,0.14015594541910328,0.13598383795560745,-0.6157407407407417
distinct_customers,seasonal_naive,test,16.010416666666668,19.379166218734316,0.10742992940518627,0.10849566937830696,5.46875
distinct_customers,seasonal_naive,validation,17.17476851851852,22.00756568843688,0.1314814814814815,0.12733610445421895,2.15162037037037
distinct_products,exponential_smoothing,test,0.704101181582114,0.9441906891152122,0.017929366958059138,0.01846596885184161,-0.019817418830146243
distinct_products,exponential_smoothing,validation,0.8765004748146175,1.1917757261051953,0.0224204757746345,0.022703757573331408,-0.1650032107471261
distinct_products,moving_average,test,0.8159722222222223,1.0817295821455972,0.020778072502210435,0.021446802777838014,-0.10069444444444427
distinct_products,moving_average,validation,0.9189814814814817,1.2909944487358056,0.023507120229742138,0.023828033035665875,-0.18287037037037057
distinct_products,seasonal_naive,test,0.84375,1.2204848763230673,0.021485411140583555,0.022692806159274468,0.13541666666666666
distinct_products,seasonal_naive,validation,0.8993055555555558,1.310422370887897,0.023003819166888716,0.023284652859661154,-0.05208333333333345
distributor_count,exponential_smoothing,test,2.7936335532961913,3.231335162034386,0.5817544926603783,0.4822116974143185,2.4885384520258063
distributor_count,exponential_smoothing,validation,0.9448672750226821,1.2370319133569907,0.12230192144113818,0.11804777038684396,0.3081863043543344
distributor_count,moving_average,test,2.3229166666666665,2.8380271577538063,0.4837310195227766,0.4101615596783652,1.857638888888889
distributor_count,moving_average,validation,0.9166666666666666,1.1876421292462194,0.11865168539325843,0.11601058068923958,0.18287037037037038
distributor_count,seasonal_naive,test,3.9270833333333335,4.402887310239347,0.8177874186550976,0.6089945695644225,3.71875
distributor_count,seasonal_naive,validation,1.696759259259259,2.3386183533165767,0.219625468164794,0.1883638498457512,1.4027777777777777
total_sales,exponential_smoothing,test,5213938.825427132,6887007.922469354,0.5614358209873668,0.5628684525737929,-317931.1531011499
total_sales,exponential_smoothing,validation,2286312.719714943,3395944.747734708,0.37641035682320684,0.38374295955611815,215961.0675899612
total_sales,moving_average,test,5660530.513888888,7504480.694878558,0.6095247187770566,0.6151362615194841,-885087.5069444446
total_sales,moving_average,validation,2434835.7960648146,3609847.6173962425,0.4008626654174161,0.398853676344612,242077.71736111108
total_sales,seasonal_naive,test,5507513.347916666,8087954.644976503,0.5930478629720335,0.5424277875140967,746558.5395833333
total_sales,seasonal_naive,validation,2592769.7212886233,4177671.1013599997,0.42686434254380473,0.40508893719543415,210733.7479707986
transaction_count,exponential_smoothing,test,30.074738950505147,34.97476045169808,0.17145762451739974,0.1703146141137952,4.0541256467870035
transaction_count,exponential_smoothing,validation,26.399902609897612,34.89999826926885,0.15736995387776861,0.15516685821428386,-1.9957845714169693
transaction_count,moving_average,test,39.385416666666664,44.48489912318561,0.2245382742443138,0.22407201936866553,-1.2048611111111107
transaction_count,moving_average,validation,28.113425925925927,37.02769442351208,0.1675842750893461,0.16675488096929836,-2.3194444444444446
transaction_count,seasonal_naive,test,21.645833333333332,25.92055169165965,0.12340400261298178,0.12335753750835195,7.25
transaction_count,seasonal_naive,validation,26.37152777777778,32.598373198446346,0.15720081135902636,0.1550079321635144,1.4016203703703702
workload,exponential_smoothing,test,0.4900015433937413,0.566835525023999,0.15688630300070797,0.15636336196514047,0.13712464159413715
workload,exponential_smoothing,validation,0.3983241233668232,0.5298014561400153,0.13021428560806367,0.12793983317826954,-0.023984743513071304
workload,moving_average,test,0.6287543437713529,0.7024890303733695,0.20131149752452737,0.20045841099264305,0.03852744548756077
workload,moving_average,validation,0.4249523650278899,0.5655634940013307,0.1389192001776026,0.13749454768864652,-0.031038343391848036
workload,seasonal_naive,test,0.3628389717956148,0.4416358972750008,0.11617201136823854,0.11585060469883969,0.22834556475847037
workload,seasonal_naive,validation,0.42498419693015566,0.5234276143174601,0.13892960619664568,0.13522444050906596,0.06436310985831824
