team,country,product_class,forecast_date,forecast_workload,planning_eligible,last_observed_month,coverage_note,current_active_reps,allocated_current_fte,capacity_per_rep,required_fte,fte_gap,additional_fte_need,current_capacity,utilization,required_fte_low,required_fte_high,forecast_uncertainty,confidence_note,raw_required_fte,cleaned_required_fte,cleaning_difference,cleaning_explanation,forecast_method,forecast_total_sales,forecast_distinct_customers,forecast_transaction_count,forecast_distinct_products,forecast_distinct_cities,forecast_distributor_count,demand_growth,customer_growth,hiring_priority,recommendation
Delta,Germany,Antibiotics,2019-05-01,3.379724481909679,True,2019-04-01,Observed latest-month rep allocation,4.0,0.5562902175080796,7.481691189885916,0.45173268932544836,-0.10455752818263125,0.0,4.161991619349919,0.8120449993692139,0.24165312142714443,0.5997344957909456,0.23892502839006097,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.45173268932544836,0.4906383729230023,0.03890568359755389,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,8425752.693541208,156.08668347082693,196.0,34.99701122344577,156.08477067829457,5.0,0.08501597720359189,-0.022421606654528636,9.946055352341093,No modeled capacity pressure
Alfa,Germany,Antimalarial,2019-05-01,2.614352210612992,True,2019-04-01,Observed latest-month rep allocation,3.0,0.40003478099061673,7.481691189885916,0.3494333225283596,-0.05060145846225711,0.0,2.9929366965854394,0.8735073526933049,0.18288237860875722,0.4700870592116932,0.25539817906045753,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3494333225283596,0.3634369361067122,0.014003613578352555,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,6952414.705647049,127.87895143617797,156.0,34.32885249110956,127.5293427635034,5.333333333333333,-0.17583995348763581,-0.03850412454001528,6.091087020391399,No modeled capacity pressure
Delta,Germany,Antimalarial,2019-05-01,3.4320579118001744,True,2019-04-01,Observed latest-month rep allocation,4.0,0.5459201883369131,7.481691189885916,0.45872755566813334,-0.0871926326687798,0.0,4.084406263461143,0.8402831869354332,0.2543803799722403,0.5953222147894697,0.21105753479881928,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.45872755566813334,0.4835614666183849,0.02483391095025154,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,7139581.589237391,158.97530444445528,192.0,34.622962948106874,158.88004806122626,5.333333333333333,-0.2745871858540623,-0.051837150430684154,4.9830461637508,No modeled capacity pressure
Charlie,Germany,Analgesics,2019-05-01,3.1414852680296788,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5080994246449495,7.481691189885916,0.41988972657364937,-0.08820969807130014,0.0,3.8014429889522217,0.8263928400766456,0.22709886294226536,0.5536777636498421,0.23052190549619325,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.41988972657364937,0.4390917046637129,0.01920197809006352,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,15977159.357072355,150.9976164695458,159.0,41.333658853845854,150.7871279454664,5.666666666666667,-0.012059468038624344,-0.052316214626281665,4.466578518478487,No modeled capacity pressure
Bravo,Germany,Antipiretics,2019-05-01,2.612689489164614,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4295302459020991,7.481691189885916,0.3492110838117142,-0.08031916209038492,0.0,3.213612656555266,0.8130069701571336,0.18661657338435936,0.4639176942915812,0.2397109403516567,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3492110838117142,0.3600327290852595,0.01082164527354537,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,8257165.076365035,126.56885929142757,160.0,34.16964546770812,126.35885929142759,4.0,-0.07114894942694039,-0.04596337217516899,3.983801939492593,No modeled capacity pressure
Charlie,Germany,Antipiretics,2019-05-01,2.535510144139673,True,2019-04-01,Observed latest-month rep allocation,3.0,0.42021195675521467,7.481691189885916,0.3388953218982479,-0.08131663485696677,0.0,3.1438960947402115,0.8064866228822327,0.1745607652085066,0.46018895851668024,0.26717949442992495,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3388953218982479,0.3563963701494742,0.01750104825122625,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,5809558.516436247,123.0749278820303,164.0,34.71900090385056,123.07359232195186,4.333333333333333,-0.1178026651820494,-0.015400576943757627,3.726519838722244,No modeled capacity pressure
Delta,Germany,Analgesics,2019-05-01,4.177992853650434,True,2019-04-01,Observed latest-month rep allocation,4.0,0.6933371261207009,7.481691189885916,0.5584289364012285,-0.13490818971947238,0.0,5.187334268118068,0.8054219446255548,0.2905696519883529,0.7538288153379495,0.25971510333168357,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.5584289364012285,0.5763088798347892,0.017879943433560752,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,11640908.363722598,189.24337102985925,261.0,41.99823376469144,188.64075501698628,6.0,-0.1366002447649215,-0.042613637285703554,3.696638505565936,No modeled capacity pressure
Bravo,Germany,Antibiotics,2019-05-01,2.4799907671780503,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4158351832404258,7.481691189885916,0.3314746230812911,-0.08436056015913468,0.0,3.1111504268944894,0.7971298159483551,0.15279106368210413,0.4774744859479194,0.34421086229916975,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3314746230812911,0.34524971257437725,0.013775089493086158,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,9929114.094442308,122.28502226524331,152.0,33.24886007792771,122.24972756524329,5.333333333333333,-0.17902563494963708,-0.039646422000706893,3.328932432101977,No modeled capacity pressure
Delta,Germany,Mood Stabilizers,2019-05-01,4.349598258957839,True,2019-04-01,Observed latest-month rep allocation,4.0,0.7306023206161818,7.481691189885916,0.5813656496325081,-0.14923667098367366,0.0,5.466140945464293,0.7957347427286994,0.2558948405919033,0.8558511338999611,0.3737774360321379,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.5813656496325081,0.598535641093211,0.017169991460702812,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,12415809.805850592,194.86546211441816,240.0,43.62200985732998,194.80203420933432,5.333333333333333,-0.16943753064537093,-0.02729386631738029,3.254582664735638,No modeled capacity pressure
Charlie,Germany,Mood Stabilizers,2019-05-01,3.197040876393861,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5404359528901493,7.481691189885916,0.4273152680660976,-0.11312068482405174,0.0,4.0433749074358305,0.7906862335507034,0.21456807429328476,0.5886963137334446,0.2856134933840421,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.4273152680660976,0.44300339452949905,0.015688126463401467,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,10012624.976401944,151.7013053644079,178.0,42.82570958255207,151.65289008580905,5.0,-0.1902638751400504,-0.0296291767735104,3.157909895967716,No modeled capacity pressure
Alfa,Germany,Antibiotics,2019-05-01,2.689109594596772,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4576486468372959,7.481691189885916,0.35942536604986186,-0.09822328078743403,0.0,3.423985849105808,0.7853740386511957,0.17383190749367958,0.505300125608413,0.31192255490681076,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.35942536604986186,0.3814100309940147,0.021984664944152854,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,6410937.782667643,132.3464701364689,158.0,33.65590599110353,132.31306455087025,5.0,-0.17763579742959068,-0.038645495376739225,2.951869371993649,No modeled capacity pressure
Delta,Germany,Antipiretics,2019-05-01,3.4551165593548765,True,2019-04-01,Observed latest-month rep allocation,4.0,0.5897157081986466,7.481691189885916,0.46180956573370163,-0.12790614246494497,0.0,4.412070818567148,0.7831054172600408,0.22117718876297462,0.6525483586020622,0.31861281843278105,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.46180956573370163,0.4905875056141981,0.02877793988049649,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,12295585.555489292,159.57337265898536,211.0,34.99991436318957,159.49820842535865,6.333333333333333,-0.05394739401739346,-0.023020167393967172,2.8682176670616513,No modeled capacity pressure
Bravo,Germany,Antiseptics,2019-05-01,3.528157610227979,True,2019-04-01,Observed latest-month rep allocation,3.0,0.6053458592556062,7.481691189885916,0.4715722048241579,-0.13377365443144834,0.0,4.529010782026589,0.7790128529235341,0.2530949387377576,0.6248106054997369,0.23642480590738332,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.4715722048241579,0.48712511755425886,0.015552912730100977,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,9331770.294470292,165.9364893152753,244.0,47.83170316998026,165.9220134364383,5.0,-0.08758182230877343,-0.018127282158134306,2.787851374476574,No modeled capacity pressure
Charlie,Germany,Antimalarial,2019-05-01,2.6688182159155422,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4582501705680725,7.481691189885916,0.3567132280898428,-0.1015369424782297,0.0,3.4284862639028666,0.7784246488062212,0.1887133145720669,0.4767996407613768,0.24733819443070776,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3567132280898428,0.36123542518750407,0.004522197097661273,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,11374999.03401135,130.1372733959449,160.0,33.78930984164906,130.0108289116933,5.333333333333333,-0.3245279929472592,-0.04544787240138215,2.759073601783986,No modeled capacity pressure
Alfa,Germany,Analgesics,2019-05-01,3.0095915351806592,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5170295611454692,7.481691189885916,0.40226086038530423,-0.11476870076016493,0.0,3.8682555125326386,0.7780229422358422,0.17774433109332927,0.5911403238296483,0.3713563540917624,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.40226086038530423,0.41890968478751167,0.016648824402207472,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,9007764.364452753,143.68910200776668,193.0,41.55538035786012,143.63745099280615,5.0,-0.09831866622419183,-0.03993918480334058,2.6542261273045735,No modeled capacity pressure
