observation_id,model,feature,contribution
obs_e23e597521391cf3,Autoencoder,latitude_dispersion,0.7261022291596181
obs_e23e597521391cf3,Autoencoder,distributor_concentration,0.28307368193631693
obs_e23e597521391cf3,Autoencoder,product_concentration,0.17199183991086614
obs_615f1e87ef3d13b8,Autoencoder,distributor_mix_change,0.9916386397768385
obs_615f1e87ef3d13b8,Autoencoder,channel_mix,0.5530991033662855
obs_615f1e87ef3d13b8,Autoencoder,latitude_dispersion,0.4509805565310761
obs_e34700c8cd07293a,Autoencoder,latitude_dispersion,2.313867441042515
obs_e34700c8cd07293a,Autoencoder,product_mix_change,0.5807907168337593
obs_e34700c8cd07293a,Autoencoder,distributor_mix_change,0.3555521183329109
obs_99444d4e9650045b,Autoencoder,total_quantity_rolling_MAD,0.6275264845427164
obs_99444d4e9650045b,Autoencoder,total_sales_rolling_MAD,0.45836951685191446
obs_99444d4e9650045b,Autoencoder,simulated_actual_payout_rolling_MAD,0.32353351221069515
obs_b860fa3f27bce88a,Autoencoder,simulated_actual_payout_rolling_std,0.4643714051421879
obs_b860fa3f27bce88a,Autoencoder,distinct_customers_lag_2,0.40692217632137584
obs_b860fa3f27bce88a,Autoencoder,channel_mix,0.2929873342895544
obs_614d2c48e59c5a11,Autoencoder,product_class_share,2.082006236635022
obs_614d2c48e59c5a11,Autoencoder,simulated_actual_payout_peer_country_product_class_relative,1.1024960823125838
obs_614d2c48e59c5a11,Autoencoder,simulated_actual_payout_product_class_relative,1.0141000683875443
obs_2b54b4193131acb6,Autoencoder,distributor_mix_change,1.9336173399786314
obs_2b54b4193131acb6,Autoencoder,product_class_share,0.6947753502517164
obs_2b54b4193131acb6,Autoencoder,distinct_customers_lag_6,0.6830098333187444
obs_1f48c1ee3e71a112,Autoencoder,latitude_dispersion,1.3148653477289713
obs_1f48c1ee3e71a112,Autoencoder,distributor_concentration,1.1981875536562665
obs_1f48c1ee3e71a112,Autoencoder,customer_loss_rate,0.7677303941685075
obs_fac9a84a13517c49,Autoencoder,distinct_customers_rolling_MAD,1.290852469138386
obs_fac9a84a13517c49,Autoencoder,total_quantity_product_class_relative,1.0980785489060936
obs_fac9a84a13517c49,Autoencoder,total_quantity_peer_country_product_class_relative,1.0687987313835983
obs_0d38ba308d8034c2,Autoencoder,channel_mix,0.7762036396992105
obs_0d38ba308d8034c2,Autoencoder,latitude_dispersion,0.6564960741717695
obs_0d38ba308d8034c2,Autoencoder,simulated_actual_payout_trend,0.526079764559994
obs_61ac42657d7331dd,Autoencoder,customer_loss_rate,0.5902602660322399
obs_61ac42657d7331dd,Autoencoder,simulated_actual_payout_peer_percentile,0.46533997256365817
obs_61ac42657d7331dd,Autoencoder,simulated_actual_payout_rolling_mean_3,0.4418041965982975
obs_43a512da6ca25bcc,Autoencoder,latitude_dispersion,5.7084214507338515
obs_43a512da6ca25bcc,Autoencoder,total_quantity_lag_3,0.9730579761527491
obs_43a512da6ca25bcc,Autoencoder,channel_mix,0.629690836990526
obs_1753f2f158ae70ac,Autoencoder,subchannel_mix,1.122231584260043
obs_1753f2f158ae70ac,Autoencoder,product_concentration,1.0305784137840692
obs_1753f2f158ae70ac,Autoencoder,distinct_customers_rolling_MAD,0.6836774047208988
obs_f515e3cb78631885,Autoencoder,total_quantity_rolling_MAD,1.3824258468523012
obs_f515e3cb78631885,Autoencoder,distinct_customers_rolling_MAD,0.8250721189477522
obs_f515e3cb78631885,Autoencoder,total_quantity_rolling_std,0.640027430682579
obs_1fc0b0ecd7830d62,Autoencoder,total_quantity_team_relative,0.8843750199593725
obs_1fc0b0ecd7830d62,Autoencoder,total_quantity_lag_6,0.5366981560350038
obs_1fc0b0ecd7830d62,Autoencoder,simulated_actual_payout_lag_6,0.4912460745938558
obs_d814e046eaa60d15,Autoencoder,country_mix,0.7414660021685487
obs_d814e046eaa60d15,Autoencoder,distributor_concentration,0.7045553248018793
obs_d814e046eaa60d15,Autoencoder,total_sales_rolling_std,0.6503365851853554
obs_76bde88d2475a77f,Autoencoder,latitude_dispersion,0.8482462732482595
obs_76bde88d2475a77f,Autoencoder,distinct_customers_rolling_MAD,0.6827005802164604
obs_76bde88d2475a77f,Autoencoder,distributor_concentration,0.6030906651778902
obs_03a31da4d41327a0,Autoencoder,simulated_actual_payout_lag_12,2.054642059110595
obs_03a31da4d41327a0,Autoencoder,total_sales_lag_12,2.0443493254571528
obs_03a31da4d41327a0,Autoencoder,total_quantity_lag_12,1.1137090908955949
obs_33d19603a3759bab,Autoencoder,distributor_mix_change,3.8580816907444175
obs_33d19603a3759bab,Autoencoder,total_quantity_lag_12,1.109805211382712
obs_33d19603a3759bab,Autoencoder,total_sales_lag_12,1.0523173164711592
obs_791d08d7ef65ea42,Autoencoder,simulated_actual_payout_peer_median,3.55574865161972
obs_791d08d7ef65ea42,Autoencoder,simulated_actual_payout_year_over_year_growth,2.718108162396193
obs_791d08d7ef65ea42,Autoencoder,distributor_concentration,2.6466703684464834
obs_5a95dfdf8550b3c1,Autoencoder,total_quantity_lag_12,2.2383985081740017
obs_5a95dfdf8550b3c1,Autoencoder,total_sales_lag_12,1.8105621893626058
obs_5a95dfdf8550b3c1,Autoencoder,distinct_customers_rolling_MAD,1.0562021885552935
obs_0011949b2bb7fbcd,Autoencoder,new_customers,5.354008263382533
obs_0011949b2bb7fbcd,Autoencoder,total_quantity_rolling_std,1.610463149310549
obs_0011949b2bb7fbcd,Autoencoder,simulated_actual_payout_year_over_year_growth,1.5095453107186574
obs_063693637ef59cce,Autoencoder,distributor_mix_change,3.356598796670861
obs_063693637ef59cce,Autoencoder,new_customers,2.7434298219835083
obs_063693637ef59cce,Autoencoder,latitude_dispersion,2.497920119600642
obs_1b443ebac94ac4d4,Autoencoder,simulated_actual_payout_lag_12,0.7240478264518083
obs_1b443ebac94ac4d4,Autoencoder,distributor_concentration,0.7110368860367549
obs_1b443ebac94ac4d4,Autoencoder,new_customers,0.5772471461774472
obs_b5b4c5d2b06e9f98,Autoencoder,distributor_count,3.455376743601994
obs_b5b4c5d2b06e9f98,Autoencoder,distinct_customers_history_deviation,2.214624908595274
obs_b5b4c5d2b06e9f98,Autoencoder,total_quantity_peer_median,1.5420811337005964
obs_b06ed11f42fcfbdf,Autoencoder,distinct_customers_rolling_std,3.3463600790769235
obs_b06ed11f42fcfbdf,Autoencoder,latitude_dispersion,3.2275498545356203
obs_b06ed11f42fcfbdf,Autoencoder,distributor_count,2.653125144662752
obs_2df2349d5d6d4af1,Autoencoder,new_customers,6.999681049508678
obs_2df2349d5d6d4af1,Autoencoder,distinct_customers_rolling_MAD,6.746413006731579
obs_2df2349d5d6d4af1,Autoencoder,distinct_customers_lag_2,3.319279805011436
obs_62f13cc5df51a157,Autoencoder,new_customers,13.890952836670007
obs_62f13cc5df51a157,Autoencoder,distinct_customers_rolling_MAD,5.4167099772870255
obs_62f13cc5df51a157,Autoencoder,distinct_customers_rolling_std,3.784724103252534
obs_43336d845ea431bc,Autoencoder,total_sales_team_relative,0.2089626056033893
obs_43336d845ea431bc,Autoencoder,simulated_payout_to_sales_ratio,0.20834986007385137
obs_43336d845ea431bc,Autoencoder,distinct_customers_team_relative,0.17841197533121061
obs_baf5625da2096882,Autoencoder,subchannel_mix,1.5102392506371536
obs_baf5625da2096882,Autoencoder,distributor_concentration,0.6185607327676707
