group_kind,grouping,value,observations,positive_support,overall_truth_support,selected_at_threshold,captured_at_threshold,false_positives_at_threshold,precision_at_threshold,recall_at_threshold,detection_rate_at_threshold,captured_at_top5pct,recall_at_top5pct,detection_rate_at_top5pct,support_status,evaluation_scope
ground_truth,anomaly_type,customer_sales_concentration,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,duplicate_expense_claim,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,duplicate_incentive_adjustment,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,end_of_period_sales_spike,3,3,4,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,extremely_short_visits,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,high_activity_low_engagement,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,incentivized_product_mix_shift,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,incorrect_accelerator_tier,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,inflated_travel_distance,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,late_repeated_target_revision,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,low_volume_customer_spike,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,multi_signal_sales_discount_returns,1,1,1,1,1,,,1.0,1.0,1.0,1.0,1.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,overlap_impossible_travel,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,peer_incentive_outlier,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,post_payout_returns,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,sales_without_supporting_activity,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
