check_name,status,value,detail,exists
input_dimensions,pass,167760 x 18,Actual source dimensions; no shape was hardcoded.,
expected_dimensions_match,warning,False,Brief expected approximately 254082 x 18.,
exact_duplicates,warning,3,Duplicates remain in the unchanged source and are excluded from the modeling copy.,
incomplete_required_rows,warning,1,Incomplete required rows remain in source and are excluded from modeling.,
source_file_sha256,pass,f77609eaa7700c964eee2f87a6bb1c75ca6263099969f7bc981fe6822f104cd3,pharma-data.csv,
missing_rate__channel,pass,0.0,Rate in unchanged source file.,
missing_rate__city,pass,0.0,Rate in unchanged source file.,
missing_rate__country,pass,0.0,Rate in unchanged source file.,
missing_rate__customer_name,pass,0.0,Rate in unchanged source file.,
missing_rate__distributor,pass,0.0,Rate in unchanged source file.,
missing_rate__latitude,pass,0.0,Rate in unchanged source file.,
missing_rate__longitude,pass,0.0,Rate in unchanged source file.,
missing_rate__manager,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__month,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__name_of_sales_rep,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__price,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__product_class,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__product_name,pass,0.0,Rate in unchanged source file.,
missing_rate__quantity,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__sales,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__sales_team,warning,5.960896518836433e-06,Rate in unchanged source file.,
missing_rate__sub_channel,pass,0.0,Rate in unchanged source file.,
missing_rate__year,warning,5.960896518836433e-06,Rate in unchanged source file.,
clean__pk__rep_master,pass,0,rep_id,
clean__pk__manager_master,pass,0,manager_id,
clean__pk__team_master,pass,0,team_id,
clean__pk__customer_master,pass,0,customer_id,
clean__pk__product_master,pass,0,product_id,
clean__pk__territory_master,pass,0,territory_id,
clean__pk__rep_targets_quotas,pass,0,rep_id+period,
clean__pk__incentive_policy_rules,pass,0,policy_id+policy_version+lower_attainment_pct,
clean__pk__orders,pass,0,order_line_id,
clean__pk__discount_detail,pass,0,discount_id,
clean__pk__returns_cancellations,pass,0,return_id,
clean__pk__field_visits,pass,0,visit_id,
clean__pk__crm_interactions,pass,0,interaction_id,
clean__pk__travel_expenses,pass,0,expense_id,
clean__pk__incentive_calculations,pass,0,incentive_record_id,
clean__pk__capacity_calendar,pass,0,capacity_record_id,
clean__pk__capacity_customer_drilldown,pass,0,rep_id+period+customer_id,
clean__pk__capacity_territory_allocation,pass,0,capacity_territory_allocation_id,
clean__pk__capacity_territory_summary,pass,0,capacity_territory_record_id,
fk__clean_orders_rep,pass,0,rep_id -> rep_id,
fk__clean_orders_customer,pass,0,customer_id -> customer_id,
fk__clean_orders_product,pass,0,product_id -> product_id,
fk__clean_orders_territory,pass,0,territory_id -> territory_id,
fk__clean_rep_manager,pass,0,manager_id -> manager_id,
fk__clean_rep_team,pass,0,team_id -> team_id,
fk__clean_rep_territory,pass,0,territory_id -> territory_id,
fk__clean_manager_team,pass,0,team_id -> team_id,
fk__clean_team_manager,pass,0,manager_id -> manager_id,
fk__clean_territory_team,pass,0,team_id -> team_id,
fk__clean_customer_territory,pass,0,territory_id -> territory_id,
fk__clean_customer_rep,pass,0,primary_rep_id -> rep_id,
fk__clean_target_rep,pass,0,rep_id -> rep_id,
fk__clean_discount_order,pass,0,order_line_id -> order_line_id,
fk__clean_discount_rep,pass,0,rep_id -> rep_id,
fk__clean_discount_approver,pass,0,approver_id -> manager_id,
fk__clean_return_order,pass,0,order_line_id -> order_line_id,
fk__clean_return_order_header,pass,0,order_id -> order_id,
fk__clean_return_rep,pass,0,rep_id -> rep_id,
fk__clean_return_customer,pass,0,customer_id -> customer_id,
fk__clean_return_product,pass,0,product_id -> product_id,
fk__clean_visit_rep,pass,0,rep_id -> rep_id,
fk__clean_visit_customer,pass,0,customer_id -> customer_id,
fk__clean_visit_territory,pass,0,territory_id -> territory_id,
fk__clean_crm_rep,pass,0,rep_id -> rep_id,
fk__clean_crm_customer,pass,0,customer_id -> customer_id,
fk__clean_crm_visit,pass,0,visit_id -> visit_id,
fk__clean_expense_visit,pass,0,visit_id -> visit_id,
fk__clean_expense_rep,pass,0,rep_id -> rep_id,
fk__clean_incentive_rep_id,pass,0,rep_id -> rep_id,
fk__clean_incentive_manager_id,pass,0,manager_id -> manager_id,
fk__clean_incentive_team_id,pass,0,team_id -> team_id,
fk__clean_incentive_territory_id,pass,0,territory_id -> territory_id,
fk__clean_incentive_policy_id,pass,0,policy_id -> policy_id,
fk__clean_incentive_policy_version,pass,0,policy_id+policy_version -> policy_id+policy_version,
fk__clean_capacity_rep,pass,0,rep_id -> rep_id,
fk__clean_capacity_manager_id,pass,0,manager_id -> manager_id,
fk__clean_capacity_team_id,pass,0,team_id -> team_id,
fk__clean_capacity_territory_id,pass,0,territory_id -> territory_id,
fk__clean_capacity_allocation_rep,pass,0,rep_id -> rep_id,
fk__clean_capacity_allocation_territory,pass,0,territory_id -> territory_id,
fk__clean_capacity_allocation_calendar,pass,0,rep_id+period -> rep_id+period,
fk__clean_capacity_summary_territory,pass,0,territory_id -> territory_id,
fk__clean_coverage_rep,pass,0,rep_id -> rep_id,
fk__clean_coverage_customer,pass,0,customer_id -> customer_id,
fk__clean_coverage_territory,pass,0,territory_id -> territory_id,
clean__order_discount_arithmetic,pass,"{'discount_max_error': 0.0, 'net_max_error': 0.0}",discount_amount=abs(gross_sales)*discount_pct and signed net sales reconcile,
clean__discount_detail_reconciliation,pass,"{'pct_max_error': 0.0, 'amount_max_error': 0.0}",Discount detail agrees with its order line,
clean__order_invoice_fulfillment_chronology,pass,0,Order date <= invoice date <= fulfillment date,
clean__returns_after_orders,pass,0,Return date must not precede original order date,
clean__return_original_order_linkage,pass,0,Return original_order_date agrees with the linked current order line,
clean__return_order_header_linkage,pass,0,Return order_id agrees with the header of its linked order line,
clean__payout_after_period,pass,0,Payout occurs after period close,
clean__post_payout_return_flag,pass,0,Post-payout return flag uses the effective policy payout date,
clean__finite_capacity,pass,True,Capacity arithmetic is finite,
clean__capacity_required_hours_reconciliation,pass,0.0,Required total hours equal all documented workload components,
clean__visit_chronology,pass,0,Actual visit end is not before start,
clean__visit_duration_reconciliation,pass,0.0,Visit duration agrees with timestamps,
clean__visit_schedule_no_overlap,pass,"{'overlaps': 0, 'duplicate_starts': 0}",Normal visit schedule is non-overlapping with unique rep start times,
clean__visit_schedule_capacity,pass,84,Normal rep-period visits do not exceed the configured schedule ceiling,
clean__expense_deviation_reconciliation,pass,3.552713678800501e-15,Expense deviation agrees with claimed and expected amounts,
injected__pk__rep_master,pass,0,rep_id,
injected__pk__manager_master,pass,0,manager_id,
injected__pk__team_master,pass,0,team_id,
injected__pk__customer_master,pass,0,customer_id,
injected__pk__product_master,pass,0,product_id,
injected__pk__territory_master,pass,0,territory_id,
injected__pk__rep_targets_quotas,pass,0,rep_id+period,
injected__pk__incentive_policy_rules,pass,0,policy_id+policy_version+lower_attainment_pct,
injected__pk__orders,pass,0,order_line_id,
injected__pk__discount_detail,pass,0,discount_id,
injected__pk__returns_cancellations,pass,0,return_id,
injected__pk__field_visits,pass,0,visit_id,
injected__pk__crm_interactions,pass,0,interaction_id,
injected__pk__travel_expenses,pass,0,expense_id,
injected__pk__incentive_calculations,pass,0,incentive_record_id,
injected__pk__capacity_calendar,pass,0,capacity_record_id,
injected__pk__capacity_customer_drilldown,pass,0,rep_id+period+customer_id,
injected__pk__capacity_territory_allocation,pass,0,capacity_territory_allocation_id,
injected__pk__capacity_territory_summary,pass,0,capacity_territory_record_id,
fk__injected_orders_rep,pass,0,rep_id -> rep_id,
fk__injected_orders_customer,pass,0,customer_id -> customer_id,
