model,split,threshold,manager_review_fraction,metric_name,metric_value,review_fraction,review_count,positive_count,captured_count,risk_medium_threshold_pct,overload_threshold_pct,risk_critical_threshold_pct,precision,recall,overload_precision,overload_recall,true_positive,false_positive,false_negative,true_negative,ground_truth_overload_count,capacity_ground_truth_row_count,undercoverage_ground_truth_row_count,unmatched_overload_truth_row_count,predicted_overload_count,above_medium_threshold_count,above_high_threshold_count,above_critical_threshold_count,overloaded_rep_period_count,reps_above_medium_threshold,reps_above_high_threshold,reps_above_critical_threshold,overloaded_territory_count,territories_above_medium_threshold,territories_above_critical_threshold,overloaded_territory_period_count,territory_period_count,clean_row_count,injected_row_count,territory_count,mae_required_total_hours,workload_mae,workload_mae_observations,workload_mae_basis,mae_utilization_pct,utilization_mae,utilization_mae_observations,utilization_mae_basis,numeric_truth_independent_flag,numeric_mae_interpretation,clean_injected_required_hours_mae,clean_injected_utilization_pct_mae,territory_ranking_agreement,territory_rank_spearman,territory_ranking_basis,territory_allocation_sensitivity_spearman,territory_allocation_sensitivity_basis,territory_truth_independent_flag,territory_capacity_basis,low_risk_count,medium_risk_count,high_risk_count,critical_risk_count,total_required_fte,total_available_fte,total_fte_gap,positive_fte_gap_fte_months,fte_aggregate_basis,data_lineage
PCA Reconstruction,test,169.75496134126422,0.05,validation_rows,78.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,validation_target_review_count,4.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,test_rows,52.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,test_prevalence,0.34615384615384615,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,precision,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,recall,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,f1,0.07142857142857142,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,f2,0.06097560975609756,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,specificity,0.7352941176470589,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,balanced_accuracy,0.39542483660130723,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,roc_auc,0.630718954248366,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,pr_auc,0.43365533042299276,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,true_positives,1.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
