model,role,manager_facing_label,selected_for_primary_use,recall_at_5pct,lift_at_5pct,precision_at_5pct,pr_auc,f1,f2,stability,runtime_seconds,business_interpretation
PCA Reconstruction,Primary anomaly ranking,Pattern deviation,True,0.4210526315789473,8.210526315789474,0.5,0.3946251236994534,0.4571428571428571,0.4347826086956521,1.0,0.0612263000220991,"Linear reconstruction deviation from training patterns; review signal, not a probability."
Autoencoder,Reconstruction comparator,Nonlinear pattern deviation,False,0.4210526315789473,8.210526315789474,0.5,0.3820625018317218,0.4571428571428571,0.4347826086956521,0.9166666666666666,4.722092899959534,Nonlinear reconstruction comparator; consult the recorded convergence limitations.
Best Ensemble,Benchmark comparator only,Combined comparison signal,False,0.4736842105263157,9.236842105263158,0.5625,0.3496436814061063,0.5142857142857142,0.4891304347826087,1.0,12.895317350019468,Combined signals evaluated on the same controlled benchmark; selection remains validation-based.
DBSCAN,Density diagnostic,Local density deviation,False,0.3157894736842105,6.157894736842105,0.375,0.2974568932826843,0.3428571428571428,0.3260869565217391,1.0,1.163754900044296,Density diagnostic; out-of-sample nearest-core approximation can mark many rows as noise.
Business Rules,Transparent rule evidence,Business rule indicator,False,0.2105263157894736,4.105263157894737,0.25,0.2377143134655436,0.2285714285714285,0.217391304347826,1.0,0.0311616000253707,Transparent commercial and DEMO payout checks requiring business validation.
K-Means,Segmentation,Commercial behavior segment,False,0.2105263157894736,4.105263157894737,0.25,0.2186328953679986,0.2285714285714285,0.217391304347826,0.9791666666666669,3.881360300001688,Commercial behavior groups with Euclidean distance from the assigned centroid.
Robust Peer Baseline,Peer comparison,Peer deviation,False,0.1578947368421052,3.0789473684210527,0.1875,0.1651665005511794,0.1714285714285714,0.1630434782608695,1.0,0.0628641999792307,Same-period median/MAD comparisons within available peer cohorts.
Isolation Forest,Tree-based anomaly comparator,Tree-based unusual pattern,False,0.1052631578947368,2.0526315789473686,0.125,0.1300220054460859,0.1142857142857142,0.108695652173913,0.7916666666666666,11.576875899976583,Tree-based unusual-pattern ranking relative to training observations.
Rolling Residual,Temporal comparator,Recent historical deviation,False,0.1578947368421052,3.0789473684210527,0.1875,0.1204726061872569,0.1714285714285714,0.1630434782608695,1.0,1.1629808500001673,Deviation from prior rolling median and robust variation.
EWMA Residual,Temporal specialist,Recent trend deviation,False,0.1578947368421052,3.0789473684210527,0.1875,0.116894268489194,0.1714285714285714,0.1630434782608695,1.0,1.1629808500001673,Current values compared with prior exponentially weighted expectations.
Seasonal Residual,Seasonal comparator,Same-month historical deviation,False,0.1052631578947368,2.0526315789473686,0.125,0.1079436268353368,0.1142857142857142,0.108695652173913,1.0,1.1629808500001673,"Deviation from the same calendar month one year earlier, where available."
Change-Point / Level Shift,Sustained-change comparator,Sustained change indicator,False,0.0,0.0,0.0,0.0760965329546292,0.0,0.0,1.0,1.1629808500001673,Consecutive same-direction deviations and accumulated change evidence.
