field,lineage
rep_id,deterministic_synthetic_mapping
product_name,aggregated_from_commercial_foundation
territory_id,deterministic_synthetic_mapping
date,aggregated_from_commercial_foundation
total_sales,aggregated_from_commercial_foundation
total_quantity,aggregated_from_commercial_foundation
average_price,aggregated_from_commercial_foundation
unique_customers,aggregated_from_commercial_foundation
latitude,aggregated_from_commercial_foundation
longitude,aggregated_from_commercial_foundation
country,aggregated_from_commercial_foundation
city,aggregated_from_commercial_foundation
product_class,aggregated_from_commercial_foundation
channel,aggregated_from_commercial_foundation
subchannel,aggregated_from_commercial_foundation
sales_manager,aggregated_from_commercial_foundation
manager_id,deterministic_synthetic_mapping
sales_team,aggregated_from_commercial_foundation
distributor,aggregated_from_commercial_foundation
rep_tenure_months,deterministic_synthetic_mapping
rep_capacity,deterministic_synthetic_mapping
transaction_count,aggregated_from_commercial_foundation
customer_concentration,aggregated_from_commercial_foundation
channel_mix,aggregated_from_commercial_foundation
subchannel_mix,aggregated_from_commercial_foundation
assigned_customer_portfolio,deterministic_synthetic_mapping
territory_customer_count,business_coherent_synthetic_enrichment
territory_lat_spread,business_coherent_synthetic_enrichment
territory_lon_spread,business_coherent_synthetic_enrichment
territory_customer_density,business_coherent_synthetic_enrichment
sales_target,business_coherent_synthetic_enrichment
quantity_target,business_coherent_synthetic_enrichment
target_attainment_pct,business_coherent_synthetic_enrichment
unique_customers_contacted,business_coherent_synthetic_enrichment
total_calls,business_coherent_synthetic_enrichment
priority_customer_calls,business_coherent_synthetic_enrichment
digital_engagements,business_coherent_synthetic_enrichment
working_days,business_coherent_synthetic_enrichment
travel_distance_km,business_coherent_synthetic_enrichment
customer_coverage_pct,business_coherent_synthetic_enrichment
call_plan_adherence_pct,business_coherent_synthetic_enrichment
territory_sales_potential,business_coherent_synthetic_enrichment
territory_market_potential,business_coherent_synthetic_enrichment
opportunity_index_raw,business_coherent_synthetic_enrichment
workload_index_raw,business_coherent_synthetic_enrichment
target_incentive,business_coherent_synthetic_enrichment
calculated_incentive,business_coherent_synthetic_enrichment
actual_incentive_paid,business_coherent_synthetic_enrichment
payout_adjustment,business_coherent_synthetic_enrichment
manual_override_amount,business_coherent_synthetic_enrichment
incentive_attainment_pct,business_coherent_synthetic_enrichment
sales_growth,derived_model_feature
rolling_sales_growth,derived_model_feature
quantity_growth,derived_model_feature
sales_per_customer,derived_model_feature
sales_per_product,derived_model_feature
sales_per_call,derived_model_feature
unique_products,derived_model_feature
product_concentration,derived_model_feature
dominant_product_share,derived_model_feature
calls_per_working_day,derived_model_feature
calls_per_customer,derived_model_feature
activity_efficiency,derived_model_feature
travel_per_customer,derived_model_feature
workload_index,derived_model_feature
incentive_to_sales_ratio,derived_model_feature
incentive_per_customer,derived_model_feature
incentive_per_call,derived_model_feature
incentive_variance,derived_model_feature
incentive_variance_pct,derived_model_feature
incentive_to_target_ratio,derived_model_feature
sales_vs_peer_median,derived_model_feature
incentive_vs_peer_median,derived_model_feature
activity_vs_peer_median,derived_model_feature
sales_zscore_within_peer,derived_model_feature
incentive_zscore_within_peer,derived_model_feature
activity_zscore_within_peer,derived_model_feature
opportunity_index,derived_model_feature
market_potential_adjusted_sales,derived_model_feature
anomaly_severity,evaluation_label_only
anomaly_type,evaluation_label_only
injected_anomaly_flag,evaluation_label_only
