product_class,country,date,total_sales,total_quantity,transaction_count,average_price,median_price,distinct_customers,distinct_products,distinct_cities,distributor_count,active_reps,latitude_dispersion,longitude_dispersion
Analgesics,Germany,2017-01-01,23239999.0,55830.0,674,427.1632047477745,445.0,392,42,392,13,13,1.5829915281266531,2.095696502087814
Analgesics,Germany,2017-02-01,32478774.0,72100.0,765,431.80392156862746,458.0,411,42,410,13,13,1.6217090747127798,2.0860803749963237
Analgesics,Germany,2017-03-01,44535117.0,108448.0,847,424.7626918536009,445.0,428,42,428,13,13,1.5858287990726339,2.1627528056480245
Analgesics,Germany,2017-04-01,32223716.0,76589.0,713,435.69565217391306,458.0,410,42,409,13,13,1.6101973593274936,2.055724122411732
Analgesics,Germany,2017-05-01,40790800.0,114669.0,939,422.4366347177849,445.0,444,42,444,13,13,1.6060151852001847,1.9152459657074303
Analgesics,Germany,2017-06-01,76961682.0,172116.0,929,441.1001076426265,458.0,455,42,454,13,13,1.5568525491814504,2.094593150173373
Analgesics,Germany,2017-07-01,49682737.0,120434.0,964,442.03215767634856,458.0,446,42,444,14,13,1.6493227941575204,2.04060360445674
Analgesics,Germany,2017-08-01,49744520.0,104458.0,911,441.67837541163556,460.0,445,42,443,13,13,1.5515384755512784,2.0334191331564595
Analgesics,Germany,2017-09-01,43114493.0,110378.0,820,432.23536585365855,445.0,424,42,423,13,13,1.5559594569776634,2.0107656680678465
Analgesics,Germany,2017-10-01,47333392.0,109975.0,827,436.3204353083434,460.0,421,42,420,12,13,1.5899977146363578,2.0831961339918825
Analgesics,Germany,2017-11-01,38653321.0,106946.0,895,429.80782122905026,445.0,430,42,428,12,13,1.6313158074450476,1.9937492149029965
Analgesics,Germany,2017-12-01,64973444.0,151586.0,654,443.4235474006116,458.0,382,42,381,14,13,1.5765242342760848,2.1086372219281784
Analgesics,Germany,2018-01-01,56586372.0,111586.0,662,442.90634441087616,460.0,382,42,381,9,13,1.6684326326963888,2.066400643174859
Analgesics,Germany,2018-02-01,40456073.0,99813.0,776,415.9265463917526,435.0,409,42,408,9,13,1.6729182535360654,2.015990758148607
Analgesics,Germany,2018-03-01,50221257.0,120175.0,810,431.9555555555556,458.0,421,42,419,12,13,1.5598252875802772,2.0296849691608276
Analgesics,Germany,2018-04-01,35070173.0,87341.0,743,443.95020188425303,460.0,402,42,401,9,13,1.619348449992306,2.0546581875115675
Analgesics,Germany,2018-05-01,31667639.0,72231.0,805,435.52670807453416,458.0,423,42,423,9,13,1.6423258349573204,2.015844315659961
Analgesics,Germany,2018-06-01,74211103.0,165656.0,851,415.29494712103406,435.0,439,42,438,13,13,1.5940499992916322,2.0328634771107725
Analgesics,Germany,2018-07-01,33813366.0,94172.0,893,415.9619260918253,435.0,436,42,434,9,13,1.6264043646929052,2.0853784306380967
Analgesics,Germany,2018-08-01,46415982.0,88637.0,693,439.59884559884557,458.0,390,42,390,9,13,1.6479842532679785,2.0859491589855446
Analgesics,Germany,2018-09-01,48139291.0,113694.0,735,428.6231292517007,458.0,419,42,418,13,13,1.6060474297415603,2.0210228240809616
Analgesics,Germany,2018-10-01,67858018.0,157306.0,1064,429.82142857142856,458.0,474,42,473,9,13,1.6074491929771935,2.003811801758024
Analgesics,Germany,2018-11-01,43132090.0,105775.0,886,432.58690744920995,445.0,435,42,434,8,13,1.6484616301162862,2.1333236062387098
Analgesics,Germany,2018-12-01,40070238.0,100979.0,548,426.2080291970803,445.0,345,42,344,11,13,1.6704987192289134,2.028267089369981
Analgesics,Germany,2019-01-01,15696143.0,36370.0,640,437.2671875,459.0,382,42,380,4,13,1.6110199739491824,2.0469760389034484
Analgesics,Germany,2019-02-01,45894844.0,113239.0,771,443.26718547341113,458.0,418,42,417,9,13,1.5257535763738101,2.0247371610320526
Analgesics,Germany,2019-03-01,48507617.0,118859.0,931,425.6154672395274,435.0,452,42,450,5,13,1.6662249448774644,2.0713476913849647
Analgesics,Germany,2019-04-01,68834307.0,133414.0,613,440.6476345840131,458.0,368,42,366,5,13,1.6727476466183058,2.0309178029916013
Analgesics,Poland,2018-01-01,7773376.0,18151.0,636,436.8380503144654,458.0,193,42,193,8,13,1.4416477837724688,2.328046142111689
Analgesics,Poland,2018-02-01,12458140.0,30954.0,642,414.5404984423676,435.0,193,42,193,8,13,1.4439130065226582,2.253190043336409
Analgesics,Poland,2018-03-01,10030727.0,24998.0,683,416.8550512445095,435.0,198,42,198,8,13,1.426314864718111,2.3302228322079834
Analgesics,Poland,2018-04-01,5830109.0,12919.0,445,427.1303370786517,445.0,178,42,178,8,13,1.424383643031606,2.343011924386924
Analgesics,Poland,2018-05-01,8409828.0,20639.0,501,427.88423153692617,435.0,180,42,180,8,13,1.459171190771023,2.294642174314357
Analgesics,Poland,2018-06-01,9532653.0,23782.0,475,430.5284210526316,445.0,183,42,183,8,13,1.4032308034487604,2.250228480797245
Analgesics,Poland,2018-07-01,7954896.0,21477.0,595,429.8453781512605,445.0,191,42,191,8,13,1.3328952292150884,2.2986391152646997
Analgesics,Poland,2018-08-01,15902948.0,35662.0,691,433.8191027496382,445.0,196,42,196,7,13,1.4121191265845727,2.309488961510833
Analgesics,Poland,2018-09-01,10945433.0,22719.0,524,434.72137404580155,445.0,187,42,187,7,13,1.4408156740777336,2.308956353472185
Analgesics,Poland,2018-10-01,12644708.0,28275.0,714,438.5952380952381,458.0,196,42,196,7,13,1.4136338709779677,2.366165698935865
Analgesics,Poland,2018-11-01,13812014.0,31266.0,677,433.8360413589365,458.0,194,42,194,8,13,1.415849413107291,2.339295772825762
Analgesics,Poland,2018-12-01,9522145.0,22401.0,644,442.5357142857143,458.0,196,42,196,7,13,1.44128420379808,2.3464147788955456
Antibiotics,Germany,2017-01-01,32191776.0,69205.0,630,433.94126984126984,450.0,375,35,373,13,13,1.5854202857210704,2.042364012704607
Antibiotics,Germany,2017-02-01,38999789.0,97440.0,628,421.8009554140127,448.0,375,35,374,12,13,1.6403634311333808,2.0560366679364273
Antibiotics,Germany,2017-03-01,29061352.0,70319.0,692,413.5823699421965,448.0,397,35,397,13,13,1.6043511091933393,2.087404849716294
Antibiotics,Germany,2017-04-01,40029226.0,85017.0,607,424.72652388797366,450.0,364,35,363,13,13,1.6102671926556424,2.090093810759776
Antibiotics,Germany,2017-05-01,31446946.0,73920.0,717,411.78800557880055,430.0,410,35,408,13,13,1.6546894849801368,2.029223372697435
Antibiotics,Germany,2017-06-01,31160717.0,79949.0,692,430.1950867052023,450.0,391,35,389,13,13,1.6235365938265758,1.9972832775137515
Antibiotics,Germany,2017-07-01,26568477.0,62588.0,759,424.2516469038208,448.0,411,35,410,13,13,1.607573193350364,2.018016497245
Antibiotics,Germany,2017-08-01,32449096.0,76497.0,793,417.12484237074403,448.0,429,35,429,13,13,1.5809274657924226,2.052096134166934
Antibiotics,Germany,2017-09-01,42023264.0,114436.0,709,420.10296191819464,448.0,398,35,398,13,13,1.625282039610853,1.9865083439796256
Antibiotics,Germany,2017-10-01,27324239.0,69926.0,707,420.3932107496464,448.0,395,35,394,13,13,1.607377320790135,2.12002991814703
Antibiotics,Germany,2017-11-01,29736245.0,64793.0,726,409.7534435261708,430.0,409,35,407,12,13,1.64115708846029,2.0002543047352477
Antibiotics,Germany,2017-12-01,28906649.0,72981.0,559,406.0983899821109,430.0,345,35,344,14,13,1.6152313502183826,2.0673697985617614
Antibiotics,Germany,2018-01-01,24250016.0,56658.0,555,409.3099099099099,448.0,357,35,356,9,13,1.5702703592954763,2.0645060270388114
Antibiotics,Germany,2018-02-01,33800103.0,78938.0,698,406.9914040114613,448.0,388,35,387,8,13,1.5768098098040848,2.1130113027552255
Antibiotics,Germany,2018-03-01,60722989.0,131103.0,694,415.28818443804033,430.0,399,35,399,11,13,1.614544112072161,2.0218067761042406
Antibiotics,Germany,2018-04-01,45798778.0,111842.0,668,415.6332335329341,430.0,400,35,400,9,13,1.6283567657449904,2.0836490210188483
Antibiotics,Germany,2018-05-01,28876072.0,77583.0,651,407.0430107526882,448.0,380,35,380,9,13,1.6263518557266736,2.170872518656391
Antibiotics,Germany,2018-06-01,33843438.0,80907.0,692,424.08092485549133,448.0,386,35,384,13,13,1.6432488393920561,1.916179989567144
Antibiotics,Germany,2018-07-01,47236173.0,100818.0,761,424.796320630749,448.0,410,35,408,9,13,1.6448803023823564,2.0267888548898623
Antibiotics,Germany,2018-08-01,17769131.0,44048.0,565,409.870796460177,448.0,354,35,353,8,13,1.5806612749231097,2.111942917210318
Antibiotics,Germany,2018-09-01,27608087.0,60366.0,581,436.7710843373494,452.0,343,35,341,12,13,1.6319241744848776,1.961078343825721
Antibiotics,Germany,2018-10-01,42060459.0,100435.0,872,433.4071100917431,450.0,453,35,451,9,13,1.5903812293791146,2.012519157317047
Antibiotics,Germany,2018-11-01,25141746.0,65412.0,692,422.6098265895954,448.0,391,35,389,8,13,1.6361356576533272,2.0335748934283444
Antibiotics,Germany,2018-12-01,38207539.0,81669.0,465,425.0731182795699,448.0,299,35,298,10,13,1.5941280774284832,2.022675298996771
Antibiotics,Germany,2019-01-01,13741117.0,30261.0,492,434.8882113821138,452.0,335,35,335,4,13,1.5761481774882373,2.12268866280285
Antibiotics,Germany,2019-02-01,37129065.0,99445.0,611,440.2258592471358,452.0,366,35,366,10,13,1.5843802432048377,2.0823531402371125
Antibiotics,Germany,2019-03-01,55653428.0,117352.0,776,425.6855670103093,448.0,421,35,420,5,13,1.56646914401566,2.0658863139413906
Antibiotics,Germany,2019-04-01,18440729.0,43882.0,513,430.24171539961014,450.0,333,35,331,4,13,1.6128743403991872,2.017889989199149
Antibiotics,Poland,2018-01-01,5823366.0,14457.0,476,424.65966386554624,450.0,180,35,180,8,13,1.463100531943869,2.285329678121859
Antibiotics,Poland,2018-02-01,10850436.0,24899.0,511,416.27788649706457,430.0,190,35,190,8,13,1.4561052611241891,2.1968536871713824
Antibiotics,Poland,2018-03-01,5189139.0,14872.0,541,423.5323475046211,448.0,185,35,185,8,13,1.393543205098873,2.186278404729519
Antibiotics,Poland,2018-04-01,5267316.0,16992.0,364,405.8763736263736,430.0,172,35,172,8,13,1.4382846139600893,2.3522548273057913
Antibiotics,Poland,2018-05-01,8263574.0,21300.0,440,422.54318181818184,450.0,175,35,175,8,13,1.4973818811403052,2.293205476909384
Antibiotics,Poland,2018-06-01,10006858.0,27000.0,418,401.9377990430622,430.0,177,35,177,8,13,1.3770112859448347,2.2998467644082394
Antibiotics,Poland,2018-07-01,6330557.0,14274.0,484,434.77272727272725,450.0,187,35,187,8,13,1.4374228418630068,2.4017311256602882
Antibiotics,Poland,2018-08-01,7054286.0,20485.0,569,414.3128295254833,430.0,193,35,193,7,13,1.438720779602836,2.3345252015741487
Antibiotics,Poland,2018-09-01,14854588.0,33173.0,479,425.4613778705637,450.0,184,35,184,7,13,1.488030950243717,2.3259535678784395
Antibiotics,Poland,2018-10-01,9949228.0,21496.0,577,425.50606585788563,450.0,189,35,189,7,13,1.4255317100724578,2.377601249068725
Antibiotics,Poland,2018-11-01,8148376.0,22778.0,543,405.4088397790055,448.0,187,35,187,8,13,1.424234579627732,2.30359537283531
Antibiotics,Poland,2018-12-01,6492152.0,19735.0,475,390.2547368421053,430.0,179,35,179,7,13,1.4139345493493811,2.2310678965094866
Antimalarial,Germany,2017-01-01,17349709.0,50935.0,597,319.1005025125628,262.0,373,35,372,13,13,1.6389909320223985,2.072234640512184
Antimalarial,Germany,2017-02-01,22944087.0,76077.0,682,336.6524926686217,402.0,382,35,380,12,13,1.592892454739952,2.0479150854804486
Antimalarial,Germany,2017-03-01,25721481.0,71790.0,708,323.36581920903956,262.0,406,35,405,12,13,1.6611426736424906,2.055843209960448
Antimalarial,Germany,2017-04-01,17789675.0,51628.0,571,342.4028021015762,377.0,356,35,355,13,13,1.6403216664049025,2.069284236031091
Antimalarial,Germany,2017-05-01,18212590.0,65791.0,716,322.981843575419,262.0,407,35,407,13,13,1.6223375533006783,2.0992535588028254
Antimalarial,Germany,2017-06-01,25688426.0,73803.0,728,340.4848901098901,402.0,403,35,402,13,13,1.616292972980247,2.1005384239724147
Antimalarial,Germany,2017-07-01,36810284.0,87307.0,770,342.41948051948054,402.0,417,35,417,13,13,1.6090361281436187,2.051570205226111
Antimalarial,Germany,2017-08-01,25887712.0,72880.0,745,347.2429530201342,402.0,410,35,410,12,13,1.6380246806787782,1.9819336566542092
Antimalarial,Germany,2017-09-01,20078057.0,63830.0,692,345.40751445086704,389.5,403,35,402,14,13,1.667683376158687,1.9548355245006643
Antimalarial,Germany,2017-10-01,24631316.0,72492.0,680,332.16617647058825,262.0,395,35,393,13,13,1.5714836382405342,2.07747710732497
Antimalarial,Germany,2017-11-01,29179946.0,78860.0,791,349.03919089759796,377.0,431,35,429,12,13,1.668659268226128,1.9908471773274814
Antimalarial,Germany,2017-12-01,20408987.0,58469.0,519,335.2697495183044,377.0,346,35,344,12,13,1.5849218700564633,1.9887962085782003
Antimalarial,Germany,2018-01-01,27528354.0,66492.0,541,335.8373382624769,377.0,343,35,343,9,13,1.549038178665758,2.0470016380273037
Antimalarial,Germany,2018-02-01,21982604.0,67005.0,631,341.2377179080824,377.0,395,35,394,9,13,1.650260562644846,2.0366990509734384
Antimalarial,Germany,2018-03-01,39583751.0,96059.0,683,341.6090775988287,377.0,393,35,392,13,13,1.6374723531317652,2.010482604649127
Antimalarial,Germany,2018-04-01,26481999.0,77881.0,605,338.0297520661157,377.0,375,35,375,9,13,1.606726321136265,2.0075248631676326
Antimalarial,Germany,2018-05-01,34520664.0,77726.0,680,350.0735294117647,402.0,396,35,394,9,13,1.6389406385271248,2.035355989675933
Antimalarial,Germany,2018-06-01,54848750.0,158546.0,674,333.74035608308606,262.0,387,35,385,12,13,1.6271253225747482,2.041824156211365
Antimalarial,Germany,2018-07-01,39904515.0,109754.0,708,352.295197740113,402.0,393,35,392,9,13,1.5733502934190378,1.9354128302360327
Antimalarial,Germany,2018-08-01,26308404.0,76359.0,572,338.53846153846155,402.0,349,35,347,9,13,1.6233520846539262,1.9624188593448453
Antimalarial,Germany,2018-09-01,20349575.0,68772.0,591,325.8578680203046,262.0,347,35,345,12,13,1.6050016592935068,2.047293260307407
Antimalarial,Germany,2018-10-01,33410696.0,98310.0,870,339.1862068965517,402.0,447,35,446,9,13,1.6167265434890687,2.008383130217754
Antimalarial,Germany,2018-11-01,21391990.0,82481.0,674,334.03709198813056,377.0,377,35,377,8,13,1.6375766143884587,2.0124165444958315
