team,country,product_class,date,total_sales,total_quantity,transaction_count,average_price,median_price,distinct_customers,distinct_products,distinct_cities,distributor_count,active_reps,latitude_dispersion,longitude_dispersion
Alfa,Germany,Analgesics,2017-01-01,5411895.0,11596.0,147,423.99319727891157,435.0,129,41,129,12,3,1.5123858577770508,2.034064048760505
Alfa,Germany,Analgesics,2017-02-01,10774107.0,19918.0,186,436.4032258064516,458.0,163,42,163,10,3,1.6149703928571855,2.112634347819643
Alfa,Germany,Analgesics,2017-03-01,8475395.0,18601.0,202,432.46534653465346,458.0,176,41,176,11,3,1.5765669369935857,2.3079923356347942
Alfa,Germany,Analgesics,2017-04-01,7349423.0,17338.0,160,420.68125,440.0,135,42,135,12,3,1.7095827385595415,1.9227316310001934
Alfa,Germany,Analgesics,2017-05-01,9544009.0,23289.0,216,415.9537037037037,435.0,176,41,176,13,3,1.6600360060953332,1.8021389833301915
Alfa,Germany,Analgesics,2017-06-01,12386483.0,24007.0,209,447.23444976076553,460.0,178,42,178,13,3,1.6331384820493406,2.079259052802955
Alfa,Germany,Analgesics,2017-07-01,8936175.0,21626.0,197,436.81218274111677,458.0,172,42,172,14,3,1.659034197408863,2.045113451034007
Alfa,Germany,Analgesics,2017-08-01,14124430.0,30528.0,227,431.0220264317181,458.0,185,42,185,11,3,1.5985581607728128,2.034510826158531
Alfa,Germany,Analgesics,2017-09-01,6704002.0,15492.0,175,418.1542857142857,445.0,141,41,141,11,3,1.509651586272685,1.9671010879127826
Alfa,Germany,Analgesics,2017-10-01,6408587.0,18968.0,187,456.42245989304814,536.0,154,41,154,11,3,1.6159455920002335,2.134786566641092
Alfa,Germany,Analgesics,2017-11-01,6981637.0,21669.0,184,416.51630434782606,414.0,156,41,155,10,3,1.6249571839698087,1.844564779558276
Alfa,Germany,Analgesics,2017-12-01,24073371.0,54914.0,137,441.2700729927007,458.0,117,42,117,11,3,1.6167578677260954,2.0795954982608666
Alfa,Germany,Analgesics,2018-01-01,7742372.0,16672.0,163,458.62576687116564,529.0,137,42,137,9,3,1.8085036857446466,2.240145612353175
Alfa,Germany,Analgesics,2018-02-01,10019751.0,20807.0,199,409.4472361809045,435.0,161,42,160,8,3,1.6681246911578558,1.9961612493668779
Alfa,Germany,Analgesics,2018-03-01,11878614.0,28849.0,190,393.9578947368421,386.0,165,42,165,11,3,1.5014981690693008,2.0190792260834867
Alfa,Germany,Analgesics,2018-04-01,12840543.0,23551.0,175,451.8457142857143,529.0,146,42,146,8,3,1.6149263524244712,2.1306156699305707
Alfa,Germany,Analgesics,2018-05-01,7793678.0,18313.0,193,431.16062176165804,460.0,159,42,159,9,3,1.6271426044691044,2.048043207050528
Alfa,Germany,Analgesics,2018-06-01,10128943.0,27995.0,187,390.3155080213904,370.0,150,42,150,11,3,1.6026043078091419,1.9424760432089183
Alfa,Germany,Analgesics,2018-07-01,7221497.0,27094.0,205,420.7170731707317,445.0,178,42,176,7,3,1.6252061249543686,2.0106802177865064
Alfa,Germany,Analgesics,2018-08-01,2416262.0,5382.0,155,432.458064516129,414.0,140,39,140,8,3,1.6358834315688902,2.130957458245892
Alfa,Germany,Analgesics,2018-09-01,7003386.0,16587.0,182,438.1263736263736,460.0,158,42,157,11,3,1.49065801228901,2.0768150755383643
Alfa,Germany,Analgesics,2018-10-01,23205475.0,47633.0,251,436.57370517928285,445.0,202,42,202,9,3,1.5962092993796193,1.9675813927755303
Alfa,Germany,Analgesics,2018-11-01,8903024.0,26366.0,207,426.39130434782606,458.0,170,42,170,8,3,1.770770758557716,2.1404300780725753
Alfa,Germany,Analgesics,2018-12-01,8375668.0,19642.0,115,405.74782608695654,435.0,104,38,104,8,3,1.6930100853567753,2.1750532175128425
Alfa,Germany,Analgesics,2019-01-01,2654377.0,6882.0,135,397.4074074074074,414.0,120,41,120,3,3,1.5500375483424331,2.0841980471756387
Alfa,Germany,Analgesics,2019-02-01,9341815.0,41100.0,173,418.66473988439304,445.0,153,42,153,7,3,1.5455192333034298,2.1027798083978886
Alfa,Germany,Analgesics,2019-03-01,14385235.0,25456.0,213,435.7136150234742,458.0,177,42,177,4,3,1.621159009387079,2.0533047184266566
Alfa,Germany,Analgesics,2019-04-01,6242843.0,14353.0,140,426.8357142857143,435.0,119,42,119,4,3,1.7041779054065784,2.071485467177887
