injection_id,entity_type,entity_id,rep_id,period,anomaly_type,anomaly_category,severity,affected_dataset,affected_record_ids,injection_description,original_value,injected_value,expected_detection_signals,ground_truth_label,data_lineage,correlated_case_flag
CAP_0003,capacity_record,CAPCAL_0d74e5c2d3b72cb3,REP_a132178ac1b8,2017-01-01,territory_workload_exceeds_capacity,capacity,low,capacity_calendar,"[""CAPCAL_0d74e5c2d3b72cb3""]",Configured controlled overload case,"{""available_field_hours"": 99.85152597417013, ""required_total_hours"": 89.34188612684181}","{""available_field_hours"": 99.85152597417013, ""required_total_hours"": 101.8485564936535}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0004,capacity_record,CAPCAL_8109e415d61c2f6f,REP_2234ec3bee93,2017-01-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_8109e415d61c2f6f""]",Configured controlled overload case,"{""available_field_hours"": 109.94762191348464, ""required_total_hours"": 99.9642232004936}","{""available_field_hours"": 109.94762191348464, ""required_total_hours"": 148.42928958320425}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0010,capacity_record,CAPCAL_3d9a8f77d161982f,REP_82f7cb811b80,2017-01-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_3d9a8f77d161982f""]",Configured controlled overload case,"{""available_field_hours"": 134.2443811845252, ""required_total_hours"": 88.3493037393438}","{""available_field_hours"": 134.2443811845252, ""required_total_hours"": 158.4083697977397}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0005,capacity_record,CAPCAL_ce68b9b34b631eea,REP_db1cc40d477a,2017-04-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_ce68b9b34b631eea""]",Configured controlled overload case,"{""available_field_hours"": 117.49523745680182, ""required_total_hours"": 82.57368093106176}","{""available_field_hours"": 117.49523745680182, ""required_total_hours"": 158.61857056668245}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0039,capacity_record,CAPCAL_227925fd80c063e0,REP_82f7cb811b80,2017-04-01,territory_workload_exceeds_capacity,capacity,low,capacity_calendar,"[""CAPCAL_227925fd80c063e0""]",Configured controlled overload case,"{""available_field_hours"": 138.38383104115556, ""required_total_hours"": 92.56709303171986}","{""available_field_hours"": 138.38383104115556, ""required_total_hours"": 141.15150766197868}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0035,capacity_record,CAPCAL_a17e4f30bb9398e3,REP_db1cc40d477a,2017-05-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_a17e4f30bb9398e3""]",Configured controlled overload case,"{""available_field_hours"": 108.96502601717242, ""required_total_hours"": 71.52750060404755}","{""available_field_hours"": 108.96502601717242, ""required_total_hours"": 147.10278512318274}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0038,capacity_record,CAPCAL_9bd2a5884ba34be6,REP_e7e9152643c7,2017-05-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_9bd2a5884ba34be6""]",Configured controlled overload case,"{""available_field_hours"": 106.38716879497011, ""required_total_hours"": 81.54578910395989}","{""available_field_hours"": 106.38716879497011, ""required_total_hours"": 143.62267787320962}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0016,capacity_record,CAPCAL_142e61e4b1139796,REP_0dfc420450a6,2017-06-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_142e61e4b1139796""]",Configured controlled overload case,"{""available_field_hours"": 115.8855429398273, ""required_total_hours"": 121.01239199497728}","{""available_field_hours"": 115.8855429398273, ""required_total_hours"": 179.09834015256632}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0013,capacity_record,CAPCAL_e2a7a82278d9907b,REP_56269a9759c4,2017-07-01,territory_workload_exceeds_capacity,capacity,low,capacity_calendar,"[""CAPCAL_e2a7a82278d9907b""]",Configured controlled overload case,"{""available_field_hours"": 130.0721821517177, ""required_total_hours"": 112.62447810273436}","{""available_field_hours"": 130.0721821517177, ""required_total_hours"": 132.67362579475204}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0007,capacity_record,CAPCAL_5f4c8482f4cbc39d,REP_a132178ac1b8,2017-08-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_5f4c8482f4cbc39d""]",Configured controlled overload case,"{""available_field_hours"": 103.57202132763001, ""required_total_hours"": 93.0103068910596}","{""available_field_hours"": 103.57202132763001, ""required_total_hours"": 122.21498516660341}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0034,capacity_record,CAPCAL_de6480c0290ced39,REP_82f7cb811b80,2017-08-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_de6480c0290ced39""]",Configured controlled overload case,"{""available_field_hours"": 119.95562745208423, ""required_total_hours"": 101.50338349227654}","{""available_field_hours"": 119.95562745208423, ""required_total_hours"": 141.54764039345937}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0006,capacity_record,CAPCAL_e54caf7b538d3e5d,REP_6daf09991b71,2017-09-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_e54caf7b538d3e5d""]",Configured controlled overload case,"{""available_field_hours"": 123.88715534933124, ""required_total_hours"": 88.15873328218623}","{""available_field_hours"": 123.88715534933124, ""required_total_hours"": 146.1868433122108}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0031,capacity_record,CAPCAL_9794171d9d04bedd,REP_bba68d031906,2017-09-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_9794171d9d04bedd""]",Configured controlled overload case,"{""available_field_hours"": 121.62161911613934, ""required_total_hours"": 88.19528616247268}","{""available_field_hours"": 121.62161911613934, ""required_total_hours"": 143.5135105570444}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0002,capacity_record,CAPCAL_c51059e959f60cba,REP_2234ec3bee93,2017-11-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_c51059e959f60cba""]",Configured controlled overload case,"{""available_field_hours"": 128.94524084286934, ""required_total_hours"": 97.19884591832674}","{""available_field_hours"": 128.94524084286934, ""required_total_hours"": 152.15538419458582}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0020,capacity_record,CAPCAL_e2efdf8139bd2e13,REP_200ef690040c,2017-11-01,territory_workload_exceeds_capacity,capacity,medium,capacity_calendar,"[""CAPCAL_e2efdf8139bd2e13""]",Configured controlled overload case,"{""available_field_hours"": 132.6895144384069, ""required_total_hours"": 118.63611898854526}","{""available_field_hours"": 132.6895144384069, ""required_total_hours"": 156.5736270373201}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0023,capacity_record,CAPCAL_64b03e68c79e1167,REP_a132178ac1b8,2017-11-01,territory_workload_exceeds_capacity,capacity,low,capacity_calendar,"[""CAPCAL_64b03e68c79e1167""]",Configured controlled overload case,"{""available_field_hours"": 105.87238639534164, ""required_total_hours"": 89.62734532085265}","{""available_field_hours"": 105.87238639534164, ""required_total_hours"": 107.98983412324849}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0001,capacity_record,CAPCAL_0b5ae6ab385c0626,REP_bba68d031906,2017-12-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_0b5ae6ab385c0626""]",Configured controlled overload case,"{""available_field_hours"": 122.00696642511508, ""required_total_hours"": 83.53488586494366}","{""available_field_hours"": 122.00696642511508, ""required_total_hours"": 164.70940467390534}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
CAP_0026,capacity_record,CAPCAL_80ccab8fe7db15a6,REP_6003efb01f5e,2017-12-01,territory_workload_exceeds_capacity,capacity,high,capacity_calendar,"[""CAPCAL_80ccab8fe7db15a6""]",Configured controlled overload case,"{""available_field_hours"": 117.36198951933861, ""required_total_hours"": 84.88552355264987}","{""available_field_hours"": 117.36198951933861, ""required_total_hours"": 158.43868585110712}","[""capacity_utilization_pct"", ""fte_gap""]",1,synthetic_injected,False
