capacity_territory_record_id,territory_id,territory_name,period,rep_count,fractional_rep_equivalent,allocation_row_count,required_total_hours,available_field_hours,capacity_utilization_pct,required_fte,available_fte,fte_gap,positive_fte_gap,capacity_risk_band,capacity_overload_flag,transaction_count,working_days,leave_days,holiday_days,training_hours,administrative_hours,meeting_hours,gross_rostered_field_hours,non_field_hours,planned_visit_count,completed_visit_count,credited_planned_visit_count,credited_completed_visit_count,observed_visit_count,observed_completed_visit_count,planned_visit_hours,planned_travel_hours,observed_visit_hours,observed_travel_hours,excess_service_visit_count,excess_service_visit_hours,excess_service_travel_hours,excess_service_hours,required_visit_count,priority_required_visit_count,required_customer_coverage_hours,required_priority_customer_coverage_hours,customer_coverage_gap,priority_customer_coverage_gap,core_required_hours,workload_buffer_hours,required_hours,available_hours,nominal_full_time_hours,rep_ids,allocation_basis,allocation_scope,geographic_workload_attribution_flag,core_workload_geographic_attribution_flag,availability_geographic_attribution_flag,residual_allocation_flag,injected_residual_allocation_flag,unrepresented_workload_residual_hours,manager_ids,manager_names,team_ids,team_names,risk_medium_threshold_pct,risk_high_threshold_pct,risk_critical_threshold_pct,overload_threshold_pct,synthetic_seed,data_lineage,utilization_pct,workload_risk_band,overload_flag,capacity_methodology
CAPTERR_1456ec63468c076d,TERR_07a5ea4d7ed4,TERR_07a5ea4d7ed4,2017-01-01,12,3.0,12,231.37040766006035,324.8350603625274,71.22704285733283,1.3772048075003591,1.9335420259674247,-0.5563372184670656,0.0,low,False,929.0,63.0,4.0,5.0,16.0,69.0,22.164939637472635,432.0,107.16493963747263,139.64880952380952,136.80133928571428,50.625,49.375,250.0,233.0,108.91458333333334,90.27045553717242,195.45000000000002,159.12406316836027,110.35119047619048,86.53541666666666,68.85360763118783,155.3890242978545,61.875,24.375,15.046820073994557,2.5035898922834687,12.5,1.875,214.23185894450032,17.138548715560027,231.37040766006035,324.8350603625274,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,71.22704285733283,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_49ca1ce472d18c67,TERR_49c0203db75f,TERR_49c0203db75f,2017-01-01,13,4.0,13,487.46616638130405,452.97469106838844,107.6144376259883,2.9015843236982386,2.6962779230261216,0.20530640067211703,0.20530640067211703,high,True,1226.0,84.0,4.0,5.0,33.0,88.0,26.02530893161156,600.0,147.02530893161156,188.20684523809524,180.62723214285714,476.625,465.75,326.0,297.0,149.2004464285714,118.0827258433839,259.6166666666667,202.98300014958244,137.79315476190476,110.41622023809524,84.90027430619855,195.3164945442938,611.875,305.625,184.07438919221508,24.679752296898666,146.125,21.625,451.35756146417043,36.10860491713363,487.46616638130405,452.97469106838844,672.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a|REP_e7e9152643c7,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,107.6144376259883,high,True,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_d3c7e7dd6e86c716,TERR_938541fb7311,TERR_938541fb7311,2017-01-01,10,3.0,10,225.31268091811884,357.41457651517095,63.03958923973968,1.341146910226898,2.127467717352208,-0.78632080712531,0.0,low,False,938.0,63.0,2.0,3.0,28.0,53.0,25.585423484829057,464.0,106.58542348482906,141.19345238095238,137.60863095238096,45.75,45.75,249.0,229.0,110.55257936507937,83.83983829284995,194.96666666666667,146.80806114703094,107.80654761904762,84.4140873015873,62.96822285418099,147.3823101557683,56.25,35.625,14.230435044032605,3.3450426549016274,10.5,2.625,208.62285270196193,16.689828216156954,225.31268091811884,357.41457651517095,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_d21d2dd167c5|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,63.03958923973968,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_28bf8e224189ce23,TERR_b31415d90eb9,TERR_b31415d90eb9,2017-01-01,12,3.0,12,244.30748911318273,347.0442201621461,70.39664541856865,1.4542112447213258,2.06573940572706,-0.6115281610057344,0.0,low,False,950.0,63.0,3.0,3.0,32.0,64.0,12.955779837853893,456.0,108.9557798378539,150.57589285714286,151.21279761904762,46.625,45.375,251.0,239.0,118.63152281746031,94.40429727834885,198.58333333333331,156.26192825052996,100.42410714285714,79.95181051587302,61.8576309721811,141.80944148805412,56.875,26.25,13.17481797195263,2.1092477569384336,11.5,1.75,226.2106380677618,18.096851045420948,244.30748911318273,347.0442201621461,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,70.39664541856865,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_31cf4df292974e79,TERR_07a5ea4d7ed4,TERR_07a5ea4d7ed4,2017-02-01,10,3.0,10,213.70856121937433,333.51492657433135,64.07766015586247,1.2720747691629424,1.9852078962757818,-0.7131331271128394,0.0,low,False,1011.0,63.0,4.0,4.0,16.0,69.0,21.485073425668656,440.0,106.48507342566865,127.7016369047619,127.04910714285714,49.25,48.75,249.0,234.0,101.41453373015872,79.66361087540876,199.78333333333333,152.96032603242554,121.2983630952381,98.36879960317461,73.29671515701676,171.66551476019137,61.875,24.375,16.80015281977909,2.5035898922834687,13.125,1.875,197.8782974253466,15.830263794027728,213.70856121937433,333.51492657433135,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_bba68d031906|REP_d21d2dd167c5|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,64.07766015586247,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_c32cd0bc593bb309,TERR_49c0203db75f,TERR_49c0203db75f,2017-02-01,13,4.0,13,513.2331693997996,451.2398918135584,113.73843020329758,3.0549593416654743,2.6859517369854666,0.3690076046800077,0.3690076046800077,high,True,1349.0,84.0,4.0,5.0,33.0,88.0,27.760108186441613,600.0,148.7601081864416,182.4813988095238,176.65699404761904,454.625,444.375,336.0,311.0,144.84234871031748,114.90626282797108,269.68333333333334,207.96309181597928,153.5186011904762,124.84098462301587,93.0568289880082,217.89781361102408,613.125,305.625,215.46728605411857,27.14038070064045,168.75,24.875,475.21589759240715,38.017271807392575,513.2331693997996,451.2398918135584,672.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a|REP_e7e9152643c7,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,113.73843020329758,high,True,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_f709d3d9238b3d4c,TERR_938541fb7311,TERR_938541fb7311,2017-02-01,12,3.0,12,239.8948847741231,355.74527166420455,67.43445489855026,1.4279457427031137,2.1175313789535988,-0.6895856362504851,0.0,low,False,1070.0,63.0,2.0,4.0,28.0,53.0,19.25472833579542,456.0,100.25472833579542,144.42113095238096,143.25669642857144,41.375,40.125,252.0,237.0,111.99257192460317,89.59713669796334,196.53333333333336,153.61541414519317,107.57886904761904,84.54076140873016,64.01827744722982,148.55903885595998,56.25,35.625,20.535184686806748,6.279250620358282,16.125,4.5,222.12489330937325,17.76999146474986,239.8948847741231,355.74527166420455,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,67.43445489855026,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_5ffd60c96f357fa4,TERR_b31415d90eb9,TERR_b31415d90eb9,2017-02-01,10,3.0,10,224.4552684147365,331.6503502209373,67.67828475537864,1.3360432643734315,1.974109227505579,-0.6380659631321475,0.0,low,False,1075.0,63.0,3.0,4.0,32.0,64.0,20.349649779062712,448.0,116.34964977906272,130.77083333333334,126.41220238095238,40.125,40.125,248.0,232.0,105.16067708333333,80.49327729062492,198.08333333333331,150.63639174555024,117.22916666666666,92.92265624999999,70.14311445492532,163.0657707049253,56.875,26.25,22.17499786190889,6.120429493059626,16.75,4.625,207.82895223586712,16.62631617886937,224.4552684147365,331.6503502209373,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_db1cc40d477a,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,67.67828475537864,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_157630c603f2b29c,TERR_07a5ea4d7ed4,TERR_07a5ea4d7ed4,2017-03-01,12,3.0,12,233.99290990369508,330.3059381186939,70.841266504755,1.392814939902947,1.9661067745160354,-0.5732918346130884,0.0,low,False,1157.0,63.0,4.0,5.0,16.0,69.0,16.694061881306055,432.0,101.69406188130606,138.74627976190476,136.1577380952381,44.75,43.5,252.0,236.0,108.97889384920634,84.87088733522577,199.15,152.22062429432827,113.25372023809524,90.17110615079366,67.34973695910251,157.52084310989616,61.875,24.375,22.810320578248508,3.592356783063366,18.375,3.625,216.66010176268065,17.33280814101445,233.99290990369508,330.3059381186939,504.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_e7e9152643c7,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,70.841266504755,low,False,actual_geographic_workload_plus_proportional_rep_availability
CAPTERR_c43527855871dbc8,TERR_49c0203db75f,TERR_49c0203db75f,2017-03-01,13,4.0,13,501.77043525364036,473.52555113133326,105.96480676804563,2.9867287812716685,2.8186044710198406,0.16812431025182795,0.16812431025182795,high,True,1518.0,84.0,4.0,3.0,33.0,88.0,21.47444886866676,616.0,142.47444886866677,177.7313988095238,176.94791666666666,459.75,450.625,335.0,324.0,144.19092261904763,112.05355317869673,272.41666666666663,208.76515234396533,157.26860119047618,128.22574404761906,96.71159916526861,224.93734321288764,613.125,305.625,208.35777906673744,17.62185383945005,162.5,17.75,464.6022548644818,37.16818038915854,501.77043525364036,473.52555113133326,672.0,REP_0dfc420450a6|REP_200ef690040c|REP_2234ec3bee93|REP_56269a9759c4|REP_6003efb01f5e|REP_6daf09991b71|REP_82f7cb811b80|REP_a132178ac1b8|REP_bba68d031906|REP_c56e2fba156a|REP_d21d2dd167c5|REP_db1cc40d477a|REP_e7e9152643c7,actual visits + owned-customer coverage; availability by rep-period transaction share,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory,True,True,False,False,False,0.0,MGR_31981a685b7e|MGR_4b97498897f6|MGR_5e1c70ff0ce6|MGR_eb86f856200b,Alisha Cordwell|Britanny Bold|James Goodwill|Tracy Banks,TEAM_4f4a9410ffcd|TEAM_a405eba78bf2|TEAM_b9dd960c1753|TEAM_f144a6907dc4,Alfa|Bravo|Charlie|Delta,85.0,100.0,120.0,100.0,42,synthetic_derived,105.96480676804563,high,True,actual_geographic_workload_plus_proportional_rep_availability
