customer_id,customer_name,territory_id,primary_rep_id,geography,country,channel,customer_type,source_sales,expected_monthly_volume,source_return_rows,source_rows,usual_product_classes,customer_segment,potential_score,expected_sales_band,required_visit_frequency,customer_priority,historical_return_rate,synthetic_latitude,synthetic_longitude,coordinate_lineage,currency_code,attribute_reference_end_date,data_lineage
CUST_0010d108680d,Funk and Sons Pharmacy,TERR_49c0203db75f,REP_6daf09991b71,Friedberg,Germany,Pharmacy,Retail,12568548.6,945.7285714285715,1,163,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,strategic,94.24766977363515,high,3,high,0.006134969325153374,50.80574257976015,9.32149462499179,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_01270921ce86,Murray PLC,TERR_49c0203db75f,REP_a132178ac1b8,Wesel,Germany,Pharmacy,Retail,5701595.0,547.1785714285714,0,156,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,core,55.41944074567244,medium,2,medium,0.0,50.67715556331144,9.445603449013438,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_01d8ac2a379b,"Kertzmann, Quitzon and Harris Pharmaceutical Limited",TERR_49c0203db75f,REP_2234ec3bee93,Forst,Germany,Pharmacy,Retail,7096592.0,498.35714285714283,2,150,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,strategic,71.1185086551265,high,2,medium,0.013333333333333334,50.943548940185195,9.35114493591436,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_0227bafc50f4,"Beer, Kohler and Beatty Pharmaceutical Ltd",TERR_3170779e5944,REP_e7e9152643c7,Rypin,Poland,Pharmacy,Retail,1083814.0,84.21428571428571,0,97,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,emerging,16.351531291611185,low,1,low,0.0,51.926763132717134,19.11947452249706,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_02d7b6e86ecb,"Langworth, Olson and Satterfield Pharmacy",TERR_938541fb7311,REP_2234ec3bee93,Meschede,Germany,Hospital,Government,10941144.0,946.2857142857143,0,142,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,strategic,91.01198402130493,high,3,high,0.0,50.81808334202702,9.36760604509638,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_031dab5a1981,"Pfannerstill, Upton and Balistreri Pharm",TERR_49c0203db75f,REP_6daf09991b71,Ilmenau,Germany,Pharmacy,Institution,3804363.0,506.17857142857144,1,138,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,emerging,37.443408788282284,low,1,low,0.007246376811594203,50.98165919106458,9.305848126701106,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_0323bcda8ad5,Rosenbaum-Tromp Pharmacy,TERR_49c0203db75f,REP_a132178ac1b8,Lüdenscheid,Germany,Hospital,Private,6002371.0,468.85714285714283,0,144,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,core,58.41544607190413,medium,2,medium,0.0,50.88021382713881,8.97918391645225,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_033122d26bf5,Dach PLC,TERR_49c0203db75f,REP_56269a9759c4,Deggendorf,Germany,Hospital,Private,11149469.0,822.2142857142857,1,155,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,strategic,91.37150466045273,high,3,high,0.0064516129032258064,50.676194741237516,9.266303670577251,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_03315fd9b671,"Hahn, Rutherford and Gislason Pharmacy",TERR_49c0203db75f,REP_d21d2dd167c5,Wolfenbüttel,Germany,Pharmacy,Retail,6279954.0,628.2857142857143,1,156,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,core,62.60985352862849,medium,2,medium,0.00641025641025641,50.86502796389632,9.167921176447223,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
CUST_039dc7a1cded,Goldner-Tillman Pharmacy,TERR_49c0203db75f,REP_56269a9759c4,Petershagen,Germany,Pharmacy,Institution,15086887.0,1066.0357142857142,0,163,Analgesics|Antibiotics|Antimalarial|Antipiretics|Antiseptics|Mood Stabilizers,strategic,97.24367509986685,high,3,high,0.0,50.66088100799579,9.056647430304215,synthetic around source territory centroid; no geocoding,UNK,2018-06-01,synthetic_derived
