visit_id,rep_id,customer_id,territory_id,period,visit_date,scheduled_start_time,actual_start_time,actual_end_time,visit_duration_minutes,visit_type,product_discussed,visit_outcome,check_in_latitude,check_in_longitude,check_out_latitude,check_out_longitude,estimated_travel_km,visit_completed_flag,impossible_travel_flag,overlapping_visit_flag,data_lineage
VIS_000000001,REP_0dfc420450a6,CUST_058f1996d0c0,TERR_07a5ea4d7ed4,2017-01-01,2017-01-01,2017-01-01 08:00:00,2017-01-01 07:56:00,2017-01-01 08:36:00,40,in-person,Apromin,product interest,50.72844301300839,9.28153514911395,50.72479671435478,9.280932464053638,17.215258544989798,True,False,False,synthetic_normal
VIS_000000002,REP_0dfc420450a6,CUST_0ba004721749,TERR_07a5ea4d7ed4,2017-01-01,2017-01-01,2017-01-01 10:30:00,2017-01-01 10:33:00,2017-01-01 11:13:00,40,in-person,Benzoprox,product interest,50.840671166022716,9.414775643493375,50.83929309852048,9.412370797803744,30.0,True,False,False,synthetic_normal
VIS_000000003,REP_0dfc420450a6,CUST_0cdde469a1d4,TERR_07a5ea4d7ed4,2017-01-01,2017-01-01,2017-01-01 13:00:00,2017-01-01 12:58:00,2017-01-01 13:36:00,38,in-person,Zynosine,follow-up requested,50.58432735208495,9.327760549617391,50.58244628240759,9.329838806801801,30.0,False,False,False,synthetic_normal
VIS_000000004,REP_0dfc420450a6,CUST_0f8a0a2dcd51,TERR_07a5ea4d7ed4,2017-01-01,2017-01-01,2017-01-01 15:30:00,2017-01-01 15:34:00,2017-01-01 16:20:00,46,in-person,Megenorphine,routine coverage,50.76719514142538,9.062355376260857,50.76598709376564,9.062877574803164,30.0,True,False,False,synthetic_normal
VIS_000000005,REP_0dfc420450a6,CUST_128b276cb4fe,TERR_07a5ea4d7ed4,2017-01-01,2017-01-02,2017-01-02 08:00:00,2017-01-02 07:58:00,2017-01-02 08:58:00,60,in-person,Alimmethate Insudase,product interest,50.82495460772333,9.173025710306685,50.82374682766642,9.171121053139043,16.35937985382495,True,False,False,synthetic_normal
VIS_000000006,REP_0dfc420450a6,CUST_13714163b271,TERR_07a5ea4d7ed4,2017-01-01,2017-01-02,2017-01-02 10:30:00,2017-01-02 10:27:00,2017-01-02 11:19:00,52,in-person,Araxetine,product interest,50.90028301004968,9.173084967754905,50.9029466663936,9.172430064057144,22.196786024926823,True,False,False,synthetic_normal
VIS_000000007,REP_0dfc420450a6,CUST_149cb2668c08,TERR_07a5ea4d7ed4,2017-01-01,2017-01-02,2017-01-02 13:00:00,2017-01-02 13:01:00,2017-01-02 14:04:00,63,in-person,Alimmethate Insudase,follow-up requested,50.757067378202905,9.284598828821393,50.75669794769362,9.283293915096067,27.684960414654512,True,False,False,synthetic_normal
VIS_000000008,REP_0dfc420450a6,CUST_1c086429a684,TERR_07a5ea4d7ed4,2017-01-01,2017-01-02,2017-01-02 15:30:00,2017-01-02 15:36:00,2017-01-02 16:25:00,49,in-person,Lovapur,no immediate action,50.75807791280672,9.319842282141712,50.75931230377617,9.32260627842688,29.548961073715308,True,False,False,synthetic_normal
VIS_000000009,REP_0dfc420450a6,CUST_1d258a36d610,TERR_07a5ea4d7ed4,2017-01-01,2017-01-03,2017-01-03 08:00:00,2017-01-03 08:04:00,2017-01-03 09:05:00,61,in-person,Stelazolid,product interest,50.73898629875251,9.194621310126463,50.7355734316594,9.194892927583666,22.55347350986885,True,False,False,synthetic_normal
VIS_000000010,REP_0dfc420450a6,CUST_211a2d5b8372,TERR_07a5ea4d7ed4,2017-01-01,2017-01-03,2017-01-03 10:30:00,2017-01-03 10:33:00,2017-01-03 11:43:00,70,in-person,Diazemid Felcept,follow-up requested,50.79327086552547,9.53414396354137,50.79339469449343,9.536187343099977,30.0,True,False,False,synthetic_normal
