policy_id,policy_version,effective_start_date,effective_end_date,metric_name,lower_attainment_pct,upper_attainment_pct,payout_rate,accelerator_multiplier,decelerator_multiplier,maximum_payout,minimum_eligibility,product_weight,new_customer_bonus,discount_penalty_threshold_pct,discount_penalty_rule,return_clawback_rule,payout_delay_days,policy_description,currency_code,data_lineage
POL_STANDARD,2017.1,2017-01-01,2017-12-31,eligible_net_sales_attainment,0.0,80.0,0.0045,1.0,0.55,25000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 1; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2017.1,2017-01-01,2017-12-31,eligible_net_sales_attainment,80.0,100.0,0.0045,1.0,0.85,25000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 2; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2017.1,2017-01-01,2017-12-31,eligible_net_sales_attainment,100.0,120.0,0.0045,1.35,1.0,25000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 3; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2017.1,2017-01-01,2017-12-31,eligible_net_sales_attainment,120.0,1000.0,0.0045,1.75,1.0,25000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 4; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2018.1,2018-01-01,2018-12-31,eligible_net_sales_attainment,0.0,80.0,0.005,1.0,0.55,27500.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 1; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2018.1,2018-01-01,2018-12-31,eligible_net_sales_attainment,80.0,100.0,0.005,1.0,0.85,27500.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 2; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2018.1,2018-01-01,2018-12-31,eligible_net_sales_attainment,100.0,120.0,0.005,1.35,1.0,27500.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 3; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2018.1,2018-01-01,2018-12-31,eligible_net_sales_attainment,120.0,1000.0,0.005,1.75,1.0,27500.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,15,Synthetic controlled benchmark policy tier 4; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2019.1,2019-01-01,2019-12-31,eligible_net_sales_attainment,0.0,80.0,0.0052,1.0,0.55,30000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,18,Synthetic controlled benchmark policy tier 1; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2019.1,2019-01-01,2019-12-31,eligible_net_sales_attainment,80.0,100.0,0.0052,1.0,0.85,30000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,18,Synthetic controlled benchmark policy tier 2; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2019.1,2019-01-01,2019-12-31,eligible_net_sales_attainment,100.0,120.0,0.0052,1.35,1.0,30000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,18,Synthetic controlled benchmark policy tier 3; not an observed compensation plan,UNK,synthetic_normal
POL_STANDARD,2019.1,2019-01-01,2019-12-31,eligible_net_sales_attainment,120.0,1000.0,0.0052,1.75,1.0,30000.0,0.5,1.0,50.0,0.13,Period-average discount above 13%; penalty scaled by the unapproved-discount rate,Base payout rate applied only to linked returns known by payout date,18,Synthetic controlled benchmark policy tier 4; not an observed compensation plan,UNK,synthetic_normal
