order_id,order_line_id,source_row_id,source_observed_sales,order_date,invoice_date,fulfillment_date,period,rep_id,customer_id,product_id,territory_id,quantity,unit_list_price,gross_sales,discount_pct,discount_amount,net_sales,order_status,payment_status,end_of_period_flag,currency_code,data_lineage
ORD_83a71e485a5e6097,LINE_83a71e485a5e6097,SRC_30f52c29de08b336,15700.0,2017-01-24,2017-01-26,2017-01-27,2017-01-01,REP_6003efb01f5e,CUST_c90662875614,PROD_fccf2094d083,TERR_49c0203db75f,20.0,785.0,15700.0,0.11018149485568685,1729.8494692342836,13970.150530765717,fulfilled,paid,False,UNK,source_observed
ORD_c02ff43fbd70acac,LINE_c02ff43fbd70acac,SRC_4a5b60ae3cdc9f2a,4530.0,2017-01-21,2017-01-21,2017-01-22,2017-01-01,REP_82f7cb811b80,CUST_1c998a8875b7,PROD_fd4afca7a1d8,TERR_938541fb7311,10.0,453.0,4530.0,0.08975089341586996,406.5715471738909,4123.428452826109,fulfilled,paid,False,UNK,source_observed
ORD_2c1c06800e948b6a,LINE_2c1c06800e948b6a,SRC_8ddbd9c6285aefac,17350.0,2017-01-09,2017-01-11,2017-01-17,2017-01-01,REP_2234ec3bee93,CUST_20f2f596e6e7,PROD_0ecc0dfe06c8,TERR_938541fb7311,25.0,694.0,17350.0,0.1400299412926591,2429.5194814276356,14920.480518572364,fulfilled,paid,False,UNK,source_observed
ORD_31d7edff72769d59,LINE_31d7edff72769d59,SRC_7ce73afcfa972597,2010.0,2017-01-11,2017-01-13,2017-01-19,2017-01-01,REP_200ef690040c,CUST_da874433e7a7,PROD_a44db23c5abb,TERR_49c0203db75f,5.0,402.0,2010.0,0.07160147301530748,143.91896076076802,1866.081039239232,fulfilled,paid,False,UNK,source_observed
ORD_47562d584ebb1f88,LINE_47562d584ebb1f88,SRC_fd4f293e9843ba07,1280.0,2017-01-06,2017-01-08,2017-01-12,2017-01-01,REP_200ef690040c,CUST_69d02e603926,PROD_5b2b8967e7b7,TERR_49c0203db75f,20.0,64.0,1280.0,0.1336323299381522,171.0493823208348,1108.9506176791651,fulfilled,paid,False,UNK,source_observed
ORD_34c769ed3e5a0ce1,LINE_34c769ed3e5a0ce1,SRC_a494f637c2e7361f,5550.0,2017-01-12,2017-01-12,2017-01-14,2017-01-01,REP_56269a9759c4,CUST_44d36dea6a81,PROD_077b06490fc0,TERR_49c0203db75f,15.0,370.0,5550.0,0.09402929254044526,521.8625735994711,5028.137426400529,fulfilled,paid,False,UNK,source_observed
ORD_cc7f655a1cbd69e6,LINE_cc7f655a1cbd69e6,SRC_1d76f683052e535b,370.0,2017-01-20,2017-01-21,2017-01-24,2017-01-01,REP_bba68d031906,CUST_d0a6578ab52e,PROD_f6e01be6ac73,TERR_07a5ea4d7ed4,5.0,74.0,370.0,0.09147810754840831,33.846899792911074,336.1531002070889,fulfilled,paid,False,UNK,source_observed
ORD_ce13a8bd69e6f9a1,LINE_ce13a8bd69e6f9a1,SRC_f9db3387d15671a1,9345.0,2017-01-05,2017-01-07,2017-01-10,2017-01-01,REP_bba68d031906,CUST_ebb1dc1f7241,PROD_20ae7db66276,TERR_07a5ea4d7ed4,15.0,623.0,9345.0,0.05274465714547709,492.8988210244834,8852.101178975516,fulfilled,paid,False,UNK,source_observed
ORD_afb79ab354a05cc1,LINE_afb79ab354a05cc1,SRC_9771262baf07618b,459.0,2017-01-12,2017-01-13,2017-01-16,2017-01-01,REP_200ef690040c,CUST_45d071437b8c,PROD_b6bf52728e40,TERR_49c0203db75f,1.0,459.0,459.0,0.1107516193294122,50.8349932722002,408.1650067277998,fulfilled,paid,False,UNK,source_observed
ORD_6a1ca46833062a6c,LINE_6a1ca46833062a6c,SRC_7d1c75f4ae60398b,320.0,2017-01-16,2017-01-16,2017-01-21,2017-01-01,REP_200ef690040c,CUST_09fb8363f7bd,PROD_5b2b8967e7b7,TERR_49c0203db75f,5.0,64.0,320.0,0.08014184873597002,25.645391595510407,294.35460840448957,fulfilled,paid,False,UNK,source_observed
ORD_a48e18b0fadd187a,LINE_a48e18b0fadd187a,SRC_7966b6b6e23e33e2,1041.0,2017-01-20,2017-01-20,2017-01-22,2017-01-01,REP_bba68d031906,CUST_ebbed6683fac,PROD_eaa33275efec,TERR_07a5ea4d7ed4,3.0,347.0,1041.0,0.06356862013990143,66.17493356563739,974.8250664343626,fulfilled,paid,False,UNK,source_observed
ORD_41430d77a03b561f,LINE_41430d77a03b561f,SRC_229dd5ec71519186,4090.0,2017-01-20,2017-01-21,2017-01-22,2017-01-01,REP_db1cc40d477a,CUST_ebebba3fdacc,PROD_ea842caf96dd,TERR_b31415d90eb9,10.0,409.0,4090.0,0.12543014254287582,513.0092830003621,3576.9907169996377,fulfilled,paid,False,UNK,source_observed
ORD_d9e49141ab40d81a,LINE_d9e49141ab40d81a,SRC_3ecca5c418af6481,1120.0,2017-01-11,2017-01-13,2017-01-17,2017-01-01,REP_0dfc420450a6,CUST_3e4bf14a862e,PROD_04910eecad02,TERR_07a5ea4d7ed4,10.0,112.0,1120.0,0.0855143692739371,95.77609358680955,1024.2239064131904,fulfilled,paid,False,UNK,source_observed
ORD_f29b8f5e294d3ed2,LINE_f29b8f5e294d3ed2,SRC_5e6a576d39c81ed5,5726.0,2017-01-21,2017-01-23,2017-01-28,2017-01-01,REP_d21d2dd167c5,CUST_b6675338ec38,PROD_ea842caf96dd,TERR_07a5ea4d7ed4,14.0,409.0,5726.0,0.12995935499514533,744.1472667022022,4981.852733297797,fulfilled,paid,False,UNK,source_observed
ORD_4f03ca3270f62364,LINE_4f03ca3270f62364,SRC_e1f47d76ec0b7b85,17532.0,2017-01-19,2017-01-19,2017-01-23,2017-01-01,REP_200ef690040c,CUST_7bfb36ad6642,PROD_02e744bbdb67,TERR_49c0203db75f,36.0,487.0,17532.0,0.10233510962814216,1794.1391420005882,15737.860857999412,fulfilled,paid,False,UNK,source_observed
ORD_5a8a316943de44f4,LINE_5a8a316943de44f4,SRC_d07118db96e518d4,1865.0,2017-01-23,2017-01-25,2017-01-28,2017-01-01,REP_db1cc40d477a,CUST_a6f48c47d679,PROD_d327d6c52c1f,TERR_b31415d90eb9,5.0,373.0,1865.0,0.10011040836590457,186.70591160241202,1678.294088397588,fulfilled,paid,False,UNK,source_observed
ORD_69ed3495d94bec57,LINE_69ed3495d94bec57,SRC_fd3f4a8d91b7bcc0,1130.0,2017-01-15,2017-01-17,2017-01-18,2017-01-01,REP_82f7cb811b80,CUST_09fb8363f7bd,PROD_032c1595fd00,TERR_938541fb7311,10.0,113.0,1130.0,0.03727490031831705,42.12063735969827,1087.8793626403017,fulfilled,paid,False,UNK,source_observed
ORD_cfc875eb616aed7e,LINE_cfc875eb616aed7e,SRC_125ecac83eaba383,1870.0,2017-01-20,2017-01-22,2017-01-27,2017-01-01,REP_6daf09991b71,CUST_f291027ae148,PROD_cba0e6b140fc,TERR_938541fb7311,10.0,187.0,1870.0,0.1520437632821576,284.3218373376347,1585.6781626623654,fulfilled,paid,False,UNK,source_observed
ORD_83a9c17206a0a4bf,LINE_83a9c17206a0a4bf,SRC_c10c8f7f6774c3d4,1715.0,2017-01-15,2017-01-17,2017-01-18,2017-01-01,REP_6003efb01f5e,CUST_a0bd03dcb37f,PROD_938e541290fb,TERR_49c0203db75f,5.0,343.0,1715.0,0.15115646326086202,259.23333449237833,1455.7666655076216,fulfilled,paid,False,UNK,source_observed
ORD_a79808d8e6d6d13e,LINE_a79808d8e6d6d13e,SRC_c2050f8b7b350db8,2670.0,2017-01-01,2017-01-03,2017-01-05,2017-01-01,REP_bba68d031906,CUST_ce44451fdb6d,PROD_5a268e35f473,TERR_07a5ea4d7ed4,6.0,445.0,2670.0,0.11756330886800109,313.8940346775629,2356.105965322437,fulfilled,paid,False,UNK,source_observed
ORD_e3e3215806cf5c2b,LINE_e3e3215806cf5c2b,SRC_d78329bf4634261a,4680.0,2017-01-25,2017-01-26,2017-02-01,2017-01-01,REP_6daf09991b71,CUST_5aadae4b0792,PROD_45495dd4870f,TERR_938541fb7311,180.0,26.0,4680.0,0.12805209618776975,599.2838101587624,4080.716189841238,fulfilled,paid,True,UNK,source_observed
ORD_76fec755ca1fcb62,LINE_76fec755ca1fcb62,SRC_b4fb855d4959414a,3450.0,2017-01-18,2017-01-18,2017-01-20,2017-01-01,REP_bba68d031906,CUST_f0aa30b43a4c,PROD_9c248a8dbca0,TERR_07a5ea4d7ed4,10.0,345.0,3450.0,0.11513328665953573,397.20983897539827,3052.7901610246017,fulfilled,paid,False,UNK,source_observed
ORD_95590ecf46c91f04,LINE_95590ecf46c91f04,SRC_77d9c9f031adfd1e,1955.0,2017-01-18,2017-01-20,2017-01-26,2017-01-01,REP_2234ec3bee93,CUST_9fa6a25c495d,PROD_7449e25bc2e3,TERR_938541fb7311,5.0,391.0,1955.0,0.07593628563743851,148.4554384211923,1806.5445615788076,fulfilled,paid,False,UNK,source_observed
ORD_77072ab9f0b915a7,LINE_77072ab9f0b915a7,SRC_62754c97aa930575,2690.0,2017-01-26,2017-01-26,2017-01-27,2017-01-01,REP_0dfc420450a6,CUST_65d9c5eadc78,PROD_bb6df382b178,TERR_07a5ea4d7ed4,10.0,269.0,2690.0,0.05801128245058565,156.0503497920754,2533.9496502079246,fulfilled,paid,True,UNK,source_observed
ORD_7215aa25441421c4,LINE_7215aa25441421c4,SRC_62811ef79ed41e7b,920.0,2017-01-22,2017-01-22,2017-01-24,2017-01-01,REP_6daf09991b71,CUST_6b290b01fc2f,PROD_b703dc6932c5,TERR_938541fb7311,2.0,460.0,920.0,0.11789332881428013,108.46186250913773,811.5381374908623,fulfilled,paid,False,UNK,source_observed
