product_id,product_name,product_class,first_observed_period,list_price,source_sales,source_quantity,product_category,launch_date,expected_price_band,margin_pct,incentive_eligible_flag,incentive_weight,expected_discount_pct,expected_return_rate,product_complexity_score,required_call_intensity,currency_code,attribute_reference_end_date,data_lineage
PROD_00d960b712da,Kinerinex,Antiseptics,2017-01-01,647.0,23551447.0,38413.0,Antiseptics,2014-11-21,530.54–763.46,0.40232009149542697,False,1.0,0.07237062599229334,0.01187411550448496,3.4858336260077767,2,UNK,2018-06-01,synthetic_derived
PROD_0295d2e04292,Abatatriptan,Antibiotics,2017-01-01,742.0,28156674.0,38631.0,Antibiotics,2015-12-06,608.44–875.56,0.5275665524694104,True,1.35,0.08548602259425903,0.031338550165917814,2.830940746600309,2,UNK,2018-06-01,synthetic_derived
PROD_02e744bbdb67,Allomenda,Antipiretics,2017-01-01,487.0,19851094.0,41590.0,Antipiretics,2016-06-12,399.34–574.66,0.583986753480292,True,1.0,0.053736351781419014,0.04972479875855271,1.0810445128165567,1,UNK,2018-06-01,synthetic_derived
PROD_032c1595fd00,Thionide,Analgesics,2017-01-01,113.0,4683285.0,47255.0,Analgesics,2014-07-26,92.66–133.34,0.3313173034044481,True,1.0,0.0258747776888531,0.03761714255589608,1.9981927037548814,1,UNK,2018-06-01,synthetic_derived
PROD_03517b2378a5,Dasagestin,Analgesics,2017-01-01,386.0,25480246.0,66101.0,Analgesics,2013-05-27,316.52–455.48,0.5923353418076192,True,1.0,0.07261514817003406,0.032485854739521355,1.4739410094192062,1,UNK,2018-06-01,synthetic_derived
PROD_044d0d898dba,Xenaminphen,Antimalarial,2017-01-01,195.0,7533240.0,38842.0,Antimalarial,2015-03-03,159.9–230.1,0.6554045835844264,True,1.0,0.1042995702512022,0.028143867157793077,1.867176582925779,1,UNK,2018-06-01,synthetic_derived
PROD_04910eecad02,Clinicilin Pentozone,Antimalarial,2017-01-01,112.0,3642016.0,32604.0,Antimalarial,2012-09-11,91.84–132.16,0.5713499862985636,True,1.35,0.04560939382707966,0.029826876436908022,2.0982809738436727,1,UNK,2018-06-01,synthetic_derived
PROD_04eff520e4c2,Immurenol Temarate,Antipiretics,2017-01-01,303.0,9950217.0,33073.0,Antipiretics,2014-11-15,248.46–357.54,0.45648909939222326,True,1.15,0.04015930217497726,0.017836035335881694,2.605225341528785,2,UNK,2018-06-01,synthetic_derived
PROD_064797a32550,Lacoplex Hyaluvance,Mood Stabilizers,2017-01-01,334.0,13045706.0,39855.0,Mood Stabilizers,2012-07-07,273.88–394.12,0.6306712555006813,True,1.15,0.0349140714202812,0.04667798622807557,3.116157573955561,2,UNK,2018-06-01,synthetic_derived
PROD_077b06490fc0,Kinovatol,Analgesics,2017-01-01,370.0,15209960.0,41354.0,Analgesics,2015-06-19,303.4–436.6,0.4909830520290236,True,1.35,0.06942044959200448,0.017323999274231817,1.0039599757055444,1,UNK,2018-06-01,synthetic_derived
PROD_083020d9af68,Amcibax Amcikeran,Analgesics,2017-01-01,319.0,14227400.0,45842.0,Analgesics,2014-02-13,261.58–376.42,0.5779083711267017,True,1.15,0.07271560794882187,0.04168126956618371,1.6474774425149632,1,UNK,2018-06-01,synthetic_derived
PROD_0860fd51f261,Ultrimax Ultriset,Antiseptics,2017-01-01,269.0,9452660.0,35650.0,Antiseptics,2013-02-15,220.58–317.42,0.6082023775434418,True,1.15,0.08838166697363217,0.04371929554031917,1.3742655424352028,1,UNK,2018-06-01,synthetic_derived
