return_id,order_id,order_line_id,rep_id,customer_id,product_id,original_order_date,return_date,return_quantity,return_amount,cancellation_flag,return_reason,payout_period,after_incentive_payout_flag,days_after_order,currency_code,data_lineage
RET_SRC_00000001,ORD_748d3b69f2d56272,LINE_748d3b69f2d56272,REP_e7e9152643c7,CUST_c20bcf5e23a5,PROD_364163a66d52,2017-01-16,2017-01-24,3.0,1302.0748919344605,False,source-observed negative commercial line,2017-01-01,False,8,UNK,source_observed
RET_SRC_00000002,ORD_f455abc55535ce6a,LINE_f455abc55535ce6a,REP_6003efb01f5e,CUST_2cd8f60da934,PROD_077b06490fc0,2017-01-05,2017-01-05,40.0,12522.813023268736,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000003,ORD_49e2471624dc9c9f,LINE_49e2471624dc9c9f,REP_c56e2fba156a,CUST_c91e9f1a2941,PROD_495a5fc0d203,2017-01-13,2017-01-16,1.0,623.0927376740016,False,source-observed negative commercial line,2017-01-01,False,3,UNK,source_observed
RET_SRC_00000004,ORD_1acc162becc5a994,LINE_1acc162becc5a994,REP_56269a9759c4,CUST_1edc0e523706,PROD_1f776d6ad2b4,2017-01-01,2017-01-01,4.0,281.51424289447937,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000005,ORD_e30e820cab588e28,LINE_e30e820cab588e28,REP_c56e2fba156a,CUST_bafe75fc5ba7,PROD_b30140584cd1,2017-01-02,2017-01-04,8.0,4513.714573479424,False,source-observed negative commercial line,2017-01-01,False,2,UNK,source_observed
RET_SRC_00000006,ORD_673940f0510479fc,LINE_673940f0510479fc,REP_bba68d031906,CUST_1234fc9d9167,PROD_15b5591ade9a,2017-01-19,2017-01-19,1.0,637.6987383687292,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000007,ORD_39534046dfa9a61c,LINE_39534046dfa9a61c,REP_6daf09991b71,CUST_7c501d476c7c,PROD_8ec73ec8b191,2017-01-14,2017-01-14,5.0,377.655744534669,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000008,ORD_16f81136f83f25f7,LINE_16f81136f83f25f7,REP_c56e2fba156a,CUST_bfa37e47ae91,PROD_6a4fa5fe09fc,2017-01-09,2017-01-09,75.0,27351.273554048697,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000009,ORD_eab26f4afde2a57f,LINE_eab26f4afde2a57f,REP_bba68d031906,CUST_d970be37b552,PROD_c0a608d6cd55,2017-01-05,2017-01-05,40.0,16764.963719251205,False,source-observed negative commercial line,2017-01-01,False,0,UNK,source_observed
RET_SRC_00000010,ORD_c7816b18f402890b,LINE_c7816b18f402890b,REP_db1cc40d477a,CUST_89500181a4fe,PROD_032c1595fd00,2017-01-10,2017-01-11,1.0,486.8318941826024,False,source-observed negative commercial line,2017-01-01,False,1,UNK,source_observed
RET_SRC_00000011,ORD_809b11d6b254c949,LINE_809b11d6b254c949,REP_200ef690040c,CUST_2c4dbba42bf8,PROD_8f2f34d4959a,2017-01-06,2017-01-08,2.0,1291.710231010906,False,source-observed negative commercial line,2017-01-01,False,2,UNK,source_observed
RET_SRC_00000012,ORD_ef520d2e1cba13a9,LINE_ef520d2e1cba13a9,REP_6003efb01f5e,CUST_e651a6e24aa8,PROD_0da11e7d19ce,2017-01-12,2017-01-16,40.0,4613.076991191656,False,source-observed negative commercial line,2017-01-01,False,4,UNK,source_observed
RET_SRC_00000013,ORD_f02bf951e4f4f4e5,LINE_f02bf951e4f4f4e5,REP_d21d2dd167c5,CUST_e973535fc0c4,PROD_8a6e289ba67e,2017-01-06,2017-01-08,10.0,4821.814480692809,False,source-observed negative commercial line,2017-01-01,False,2,UNK,source_observed
RET_SRC_00000014,ORD_69700151b091ed8a,LINE_69700151b091ed8a,REP_d21d2dd167c5,CUST_222a531b6f76,PROD_fd4afca7a1d8,2017-01-07,2017-01-08,16.0,8677.320436931308,False,source-observed negative commercial line,2017-01-01,False,1,UNK,source_observed
RET_SRC_00000015,ORD_57810bb2f92cce8f,LINE_57810bb2f92cce8f,REP_56269a9759c4,CUST_b8373d412250,PROD_df43ba494383,2017-01-12,2017-01-13,4.0,298.9484322582108,False,source-observed negative commercial line,2017-01-01,False,1,UNK,source_observed
RET_SRC_00000016,ORD_075dcd13cff98623,LINE_075dcd13cff98623,REP_56269a9759c4,CUST_3f0b5f090e6c,PROD_9e991a335b94,2017-01-01,2017-01-08,10.0,3154.299280282278,False,source-observed negative commercial line,2017-01-01,False,7,UNK,source_observed
RET_SRC_00000017,ORD_c666684823c5d799,LINE_c666684823c5d799,REP_bba68d031906,CUST_eaf0fdc66f3e,PROD_0bd7fc389f42,2017-02-06,2017-02-21,20.0,14339.112172623543,False,source-observed negative commercial line,2017-02-01,False,15,UNK,source_observed
RET_SRC_00000018,ORD_f669ae2e84d554ed,LINE_f669ae2e84d554ed,REP_e7e9152643c7,CUST_2cd8f60da934,PROD_938e541290fb,2017-02-09,2017-02-12,10.0,3254.445881156295,False,source-observed negative commercial line,2017-02-01,False,3,UNK,source_observed
RET_SRC_00000019,ORD_6f93dda5c3c38e9d,LINE_6f93dda5c3c38e9d,REP_e7e9152643c7,CUST_540ffd2e6eb6,PROD_e9880130d00e,2017-02-13,2017-02-22,16.0,3715.821958273579,False,source-observed negative commercial line,2017-02-01,False,9,UNK,source_observed
RET_SRC_00000020,ORD_16810514a2090165,LINE_16810514a2090165,REP_2234ec3bee93,CUST_c4564d43ab4a,PROD_9665d8b47aaf,2017-02-11,2017-02-13,50.0,29072.634838757556,False,source-observed negative commercial line,2017-02-01,False,2,UNK,source_observed
RET_SRC_00000021,ORD_b47b1cffe91a6e7b,LINE_b47b1cffe91a6e7b,REP_0dfc420450a6,CUST_63585213049a,PROD_0860fd51f261,2017-02-20,2017-02-21,2.0,1122.175252349763,False,source-observed negative commercial line,2017-02-01,False,1,UNK,source_observed
RET_SRC_00000022,ORD_419131dd4f0106a2,LINE_419131dd4f0106a2,REP_2234ec3bee93,CUST_d1d21163fc60,PROD_5e1e63b038bc,2017-02-10,2017-02-14,20.0,9348.144129013961,False,source-observed negative commercial line,2017-02-01,False,4,UNK,source_observed
RET_SRC_00000023,ORD_ee8e1f5ee8af0d69,LINE_ee8e1f5ee8af0d69,REP_c56e2fba156a,CUST_91aed7f0b192,PROD_0ecc0dfe06c8,2017-02-08,2017-02-08,45.0,15359.151215238684,False,source-observed negative commercial line,2017-02-01,False,0,UNK,source_observed
RET_SRC_00000024,ORD_ced4a3a45e736287,LINE_ced4a3a45e736287,REP_82f7cb811b80,CUST_bd154429ea69,PROD_79801aa9959b,2017-02-03,2017-02-04,72.0,42086.35669423217,False,source-observed negative commercial line,2017-02-01,False,1,UNK,source_observed
RET_SRC_00000025,ORD_d71c74369e22812d,LINE_d71c74369e22812d,REP_db1cc40d477a,CUST_69ad7d2d9eb6,PROD_0bd7fc389f42,2017-02-21,2017-02-23,1.0,383.67997217601567,False,source-observed negative commercial line,2017-02-01,False,2,UNK,source_observed
