expense_id,rep_id,visit_id,period,expense_date,expense_category,claimed_distance_km,estimated_distance_km,claimed_amount,expected_amount,receipt_available_flag,approval_status,deviation_pct,currency_code,data_lineage
EXP_000000001,REP_0dfc420450a6,VIS_000000001,2017-01-01,2017-01-01,mileage,16.426172497833125,17.215258544989798,10.566636182211191,10.673460297893675,True,approved,-1.0008386474587303,UNK,synthetic_normal
EXP_000000002,REP_0dfc420450a6,VIS_000000002,2017-01-01,2017-01-01,mileage,31.693653591683187,30.0,19.436601536211054,18.6,True,approved,4.497857721564797,UNK,synthetic_normal
EXP_000000003,REP_0dfc420450a6,VIS_000000004,2017-01-01,2017-01-01,mileage,28.46242381270998,30.0,19.162980031647756,18.6,True,approved,3.026774363697603,UNK,synthetic_normal
EXP_000000004,REP_0dfc420450a6,VIS_000000005,2017-01-01,2017-01-02,mileage,16.03300977642443,16.35937985382495,10.153982345694786,10.14281550937147,True,approved,0.11009602129702652,UNK,synthetic_normal
EXP_000000005,REP_0dfc420450a6,VIS_000000006,2017-01-01,2017-01-02,mileage,22.07119195740458,22.196786024926823,14.105427099841632,13.76200733545463,True,approved,2.4954191348398784,UNK,synthetic_normal
EXP_000000006,REP_0dfc420450a6,VIS_000000007,2017-01-01,2017-01-02,mileage,31.77793623794979,27.684960414654512,17.6434934006506,17.164675457085796,True,approved,2.789554307402535,UNK,synthetic_normal
EXP_000000007,REP_0dfc420450a6,VIS_000000008,2017-01-01,2017-01-02,mileage,27.369719339553964,29.548961073715308,19.731415957305636,18.32035586570349,True,approved,7.702143462418827,UNK,synthetic_normal
EXP_000000008,REP_0dfc420450a6,VIS_000000010,2017-01-01,2017-01-03,local transit,34.94344100353119,30.0,19.309848692917768,18.6,True,approved,3.8163908221385308,UNK,synthetic_normal
EXP_000000009,REP_0dfc420450a6,VIS_000000011,2017-01-01,2017-01-03,mileage,21.369526674891688,19.908294385262057,11.417989326875274,12.343142518862475,True,approved,-7.4952808053006414,UNK,synthetic_normal
EXP_000000010,REP_0dfc420450a6,VIS_000000013,2017-01-01,2017-01-04,mileage,12.975003260786174,13.487533608078133,8.05161844448005,8.362270837008442,True,approved,-3.7149286190726336,UNK,synthetic_normal
EXP_000000011,REP_0dfc420450a6,VIS_000000014,2017-01-01,2017-01-04,mileage,30.910121091334585,30.0,17.002849548938773,18.6,True,approved,-8.586830382049616,UNK,synthetic_normal
EXP_000000012,REP_0dfc420450a6,VIS_000000015,2017-01-01,2017-01-04,mileage,27.276557836146047,27.57706938393164,17.02975228534948,17.097783018037617,True,approved,-0.3978921279815397,UNK,synthetic_normal
EXP_000000013,REP_0dfc420450a6,VIS_000000017,2017-01-01,2017-01-05,mileage,27.79490445734087,30.0,14.549087705144192,18.6,True,approved,-21.779098359439832,UNK,synthetic_normal
EXP_000000014,REP_0dfc420450a6,VIS_000000018,2017-01-01,2017-01-05,mileage,29.44813925958973,25.73439717373366,15.416831095030783,15.95532624771487,True,approved,-3.3750181245037867,UNK,synthetic_normal
EXP_000000015,REP_0dfc420450a6,VIS_000000019,2017-01-01,2017-01-05,mileage,30.23263637670722,30.0,18.154692237745575,18.6,True,approved,-2.3941277540560555,UNK,synthetic_normal
EXP_000000016,REP_0dfc420450a6,VIS_000000020,2017-01-01,2017-01-05,mileage,32.91019623934518,30.0,19.42285897112446,18.6,True,approved,4.423972963034717,UNK,synthetic_normal
EXP_000000017,REP_0dfc420450a6,VIS_000000021,2017-01-01,2017-01-06,mileage,20.065694630956358,21.293677926736404,13.569355887201322,13.20208031457657,True,approved,2.7819522671683727,UNK,synthetic_normal
EXP_000000018,REP_0dfc420450a6,VIS_000000022,2017-01-01,2017-01-06,mileage,31.98268097967197,30.0,18.60653857341562,18.6,True,approved,0.03515362051407544,UNK,synthetic_normal
EXP_000000019,REP_0dfc420450a6,VIS_000000023,2017-01-01,2017-01-06,mileage,31.28205607763702,30.0,19.340998604942172,18.6,True,approved,3.983863467431023,UNK,synthetic_normal
EXP_000000020,REP_0dfc420450a6,VIS_000000024,2017-01-01,2017-01-06,mileage,27.627207560392268,30.0,19.081973342536042,18.6,True,approved,2.591254529763658,UNK,synthetic_normal
EXP_000000021,REP_0dfc420450a6,VIS_000000025,2017-01-01,2017-01-07,mileage,31.119922076785183,30.0,15.488446929590184,18.6,True,approved,-16.728779948439875,UNK,synthetic_normal
EXP_000000022,REP_0dfc420450a6,VIS_000000029,2017-01-01,2017-01-08,mileage,31.440542184235568,30.0,18.255725908858885,18.6,False,pending documentation,-1.8509359738769697,UNK,synthetic_normal
EXP_000000023,REP_0dfc420450a6,VIS_000000030,2017-01-01,2017-01-08,local transit,31.509706971695152,30.0,19.805664689179622,18.6,True,approved,6.482068221395809,UNK,synthetic_normal
EXP_000000024,REP_0dfc420450a6,VIS_000000032,2017-01-01,2017-01-08,local transit,30.152758433287964,30.0,17.381196541732823,18.6,True,approved,-6.552706764877302,UNK,synthetic_normal
EXP_000000025,REP_0dfc420450a6,VIS_000000033,2017-01-01,2017-01-09,mileage,27.899568787253166,26.96215221567909,20.08512100022246,16.716534373721036,True,approved,20.15122603281311,UNK,synthetic_normal
