Distributor,Customer,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Sales Manager,Sales Team
DIST_06,CUST_11_001,Brasilia,Brazil,-15.822253623503538,-47.86536539429631,Retail,Independent Pharmacy,Dermasol,Dermatology,10,38.92,388.8,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_001,Brasilia,Brazil,-15.785797945186774,-47.8986636626342,Clinic,Specialist Clinic,Oncora,Oncology,4,200.32,779.86,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_001,Brasilia,Brazil,-15.793717242865814,-47.899039377061676,Clinic,Primary Care,Oncora,Oncology,15,226.93,3424.93,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_007,Brasilia,Brazil,-15.809358387980971,-47.86079790930614,Hospital,Public Hospital,Dermasol,Dermatology,8,35.3,269.97,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_008,Brasilia,Brazil,-15.779145659510073,-47.928070879973326,Hospital,Private Hospital,Respira,Respiratory,8,49.52,403.43,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_010,Brasilia,Brazil,-15.80970488313105,-47.91811484789333,Retail,Pharmacy Chain,Immunara,Immunology,4,185.87,732.03,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_012,Brasilia,Brazil,-15.772252236468054,-47.97044740072744,Retail,Pharmacy Chain,Immunara,Immunology,5,143.33,733.97,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_014,Brasilia,Brazil,-15.852311236126285,-47.88368482206923,Clinic,Specialist Clinic,Neurocalm,Neurology,8,97.66,750.17,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_015,Brasilia,Brazil,-15.806813662241648,-47.8693024808403,Retail,Independent Pharmacy,Cardiovex,Cardiovascular,7,88.27,605.19,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_019,Brasilia,Brazil,-15.783007247497428,-47.910366263503946,Hospital,Public Hospital,Dermasol,Dermatology,11,48.81,540.82,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_022,Brasilia,Brazil,-15.771501161111582,-47.917369506143146,Clinic,Primary Care,Immunara,Immunology,8,151.12,1252.39,April,2024,MGR_04,Team_Delta
DIST_06,CUST_11_022,Brasilia,Brazil,-15.803625847060554,-47.86576978902959,Retail,Pharmacy Chain,Immunara,Immunology,5,146.45,742.9,April,2024,MGR_04,Team_Delta
